date,open,high,low,close,volume,barCount
20221201  00:00:00,80.79,80.79,80.63,80.675,-1,-1
20221201  00:01:00,80.675,80.71,80.655,80.7,-1,-1
20221201  00:02:00,80.7,80.715,80.7,80.71,-1,-1
20221201  00:03:00,80.71,80.73,80.7,80.715,-1,-1
20221201  00:04:00,80.715,80.72,80.71,80.71,-1,-1
20221201  00:05:00,80.71,80.735,80.7,80.725,-1,-1
20221201  00:06:00,80.725,80.745,80.68,80.7,-1,-1
20221201  00:07:00,80.7,80.72,80.695,80.7,-1,-1
20221201  00:08:00,80.7,80.705,80.7,80.705,-1,-1
20221201  00:09:00,80.705,80.715,80.695,80.7,-1,-1
20221201  00:10:00,80.7,80.7,80.665,80.675,-1,-1
20221201  00:11:00,80.675,80.685,80.645,80.65,-1,-1
20221201  00:12:00,80.65,80.675,80.65,80.665,-1,-1
20221201  00:13:00,80.665,80.695,80.665,80.695,-1,-1
20221201  00:14:00,80.695,80.715,80.695,80.715,-1,-1
20221201  00:15:00,80.715,80.745,80.715,80.745,-1,-1
20221201  00:16:00,80.745,80.785,80.745,80.775,-1,-1
20221201  00:17:00,80.775,80.785,80.77,80.785,-1,-1
20221201  00:18:00,80.785,80.815,80.775,80.815,-1,-1
20221201  00:19:00,80.815,80.815,80.775,80.795,-1,-1
20221201  00:20:00,80.795,80.8,80.795,80.8,-1,-1
20221201  00:21:00,80.8,80.815,80.775,80.785,-1,-1
20221201  00:22:00,80.785,80.785,80.775,80.785,-1,-1
20221201  00:23:00,80.785,80.805,80.785,80.79,-1,-1
20221201  00:24:00,80.79,80.79,80.785,80.785,-1,-1
20221201  00:25:00,80.785,80.785,80.775,80.775,-1,-1
20221201  00:26:00,80.775,80.79,80.74,80.74,-1,-1
20221201  00:27:00,80.74,80.755,80.73,80.755,-1,-1
20221201  00:28:00,80.755,80.785,80.755,80.785,-1,-1
20221201  00:29:00,80.785,80.805,80.785,80.795,-1,-1
20221201  00:30:00,80.795,80.81,80.795,80.805,-1,-1
20221201  00:31:00,80.805,80.805,80.78,80.785,-1,-1
20221201  00:32:00,80.785,80.805,80.78,80.795,-1,-1
20221201  00:33:00,80.795,80.8,80.795,80.8,-1,-1
20221201  00:34:00,80.8,80.8,80.8,80.8,-1,-1
20221201  00:35:00,80.8,80.8,80.78,80.79,-1,-1
20221201  00:36:00,80.79,80.8,80.785,80.8,-1,-1
20221201  00:37:00,80.8,80.815,80.795,80.815,-1,-1
20221201  00:38:00,80.815,80.82,80.815,80.82,-1,-1
20221201  00:39:00,80.82,80.82,80.805,80.805,-1,-1
20221201  00:40:00,80.805,80.815,80.805,80.81,-1,-1
20221201  00:41:00,80.81,80.81,80.785,80.805,-1,-1
20221201  00:42:00,80.805,80.815,80.805,80.805,-1,-1
20221201  00:43:00,80.805,80.815,80.795,80.8,-1,-1
20221201  00:44:00,80.8,80.8,80.76,80.76,-1,-1
20221201  00:45:00,80.76,80.765,80.735,80.745,-1,-1
20221201  00:46:00,80.745,80.75,80.73,80.73,-1,-1
20221201  00:47:00,80.73,80.74,80.73,80.73,-1,-1
20221201  00:48:00,80.73,80.74,80.73,80.735,-1,-1
20221201  00:49:00,80.735,80.76,80.735,80.755,-1,-1
20221201  00:50:00,80.755,80.76,80.74,80.75,-1,-1
20221201  00:51:00,80.75,80.76,80.73,80.73,-1,-1
20221201  00:52:00,80.73,80.74,80.73,80.73,-1,-1
20221201  00:53:00,80.73,80.735,80.715,80.72,-1,-1
20221201  00:54:00,80.72,80.725,80.72,80.72,-1,-1
20221201  00:55:00,80.72,80.725,80.72,80.72,-1,-1
20221201  00:56:00,80.72,80.72,80.72,80.72,-1,-1
20221201  00:57:00,80.72,80.725,80.715,80.725,-1,-1
20221201  00:58:00,80.725,80.74,80.725,80.74,-1,-1
20221201  00:59:00,80.74,80.755,80.74,80.755,-1,-1
