date,open,high,low,close,volume,barCount
20230201  00:00:00,79.35,79.415,79.35,79.395,-1,-1
20230201  00:01:00,79.395,79.4,79.355,79.36,-1,-1
20230201  00:02:00,79.36,79.365,79.34,79.34,-1,-1
20230201  00:03:00,79.34,79.345,79.34,79.34,-1,-1
20230201  00:04:00,79.34,79.34,79.33,79.33,-1,-1
20230201  00:05:00,79.33,79.34,79.32,79.335,-1,-1
20230201  00:06:00,79.335,79.34,79.33,79.335,-1,-1
20230201  00:07:00,79.335,79.34,79.33,79.33,-1,-1
20230201  00:08:00,79.33,79.33,79.33,79.33,-1,-1
20230201  00:09:00,79.33,79.33,79.33,79.33,-1,-1
20230201  00:10:00,79.33,79.33,79.33,79.33,-1,-1
20230201  00:11:00,79.33,79.34,79.33,79.34,-1,-1
20230201  00:12:00,79.34,79.34,79.34,79.34,-1,-1
20230201  00:13:00,79.34,79.36,79.34,79.36,-1,-1
20230201  00:14:00,79.36,79.37,79.36,79.365,-1,-1
20230201  00:15:00,79.365,79.38,79.365,79.38,-1,-1
20230201  00:16:00,79.38,79.38,79.36,79.37,-1,-1
20230201  00:17:00,79.37,79.38,79.365,79.375,-1,-1
20230201  00:18:00,79.375,79.375,79.37,79.37,-1,-1
20230201  00:19:00,79.37,79.38,79.36,79.37,-1,-1
20230201  00:20:00,79.37,79.38,79.37,79.38,-1,-1
20230201  00:21:00,79.38,79.38,79.365,79.38,-1,-1
20230201  00:22:00,79.38,79.385,79.38,79.38,-1,-1
20230201  00:23:00,79.38,79.38,79.38,79.38,-1,-1
20230201  00:24:00,79.38,79.42,79.38,79.41,-1,-1
20230201  00:25:00,79.41,79.41,79.4,79.405,-1,-1
20230201  00:26:00,79.405,79.41,79.4,79.4,-1,-1
20230201  00:27:00,79.4,79.4,79.39,79.39,-1,-1
20230201  00:28:00,79.39,79.39,79.39,79.39,-1,-1
20230201  00:29:00,79.39,79.39,79.38,79.39,-1,-1
20230201  00:30:00,79.39,79.4,79.39,79.39,-1,-1
20230201  00:31:00,79.39,79.4,79.39,79.4,-1,-1
20230201  00:32:00,79.4,79.41,79.395,79.41,-1,-1
20230201  00:33:00,79.41,79.415,79.4,79.4,-1,-1
20230201  00:34:00,79.4,79.405,79.4,79.405,-1,-1
20230201  00:35:00,79.405,79.405,79.4,79.4,-1,-1
20230201  00:36:00,79.4,79.405,79.4,79.405,-1,-1
20230201  00:37:00,79.405,79.405,79.405,79.405,-1,-1
20230201  00:38:00,79.405,79.405,79.4,79.4,-1,-1
20230201  00:39:00,79.4,79.4,79.395,79.4,-1,-1
20230201  00:40:00,79.4,79.42,79.4,79.42,-1,-1
20230201  00:41:00,79.42,79.42,79.41,79.42,-1,-1
20230201  00:42:00,79.42,79.42,79.41,79.41,-1,-1
20230201  00:43:00,79.41,79.41,79.4,79.41,-1,-1
20230201  00:44:00,79.41,79.41,79.4,79.405,-1,-1
20230201  00:45:00,79.405,79.43,79.405,79.42,-1,-1
20230201  00:46:00,79.42,79.425,79.41,79.415,-1,-1
20230201  00:47:00,79.415,79.415,79.41,79.41,-1,-1
20230201  00:48:00,79.41,79.41,79.41,79.41,-1,-1
20230201  00:49:00,79.41,79.41,79.41,79.41,-1,-1
20230201  00:50:00,79.41,79.43,79.41,79.43,-1,-1
20230201  00:51:00,79.43,79.445,79.42,79.42,-1,-1
20230201  00:52:00,79.42,79.435,79.42,79.43,-1,-1
20230201  00:53:00,79.43,79.44,79.42,79.42,-1,-1
20230201  00:54:00,79.42,79.44,79.42,79.44,-1,-1
20230201  00:55:00,79.44,79.46,79.44,79.45,-1,-1
20230201  00:56:00,79.45,79.45,79.44,79.44,-1,-1
20230201  00:57:00,79.44,79.475,79.44,79.47,-1,-1
20230201  00:58:00,79.47,79.47,79.44,79.45,-1,-1
20230201  00:59:00,79.45,79.45,79.435,79.45,-1,-1
