date,open,high,low,close,volume,barCount
20230222  00:00:00,76.375,76.375,76.27,76.325,-1,-1
20230222  00:01:00,76.325,76.325,76.305,76.315,-1,-1
20230222  00:02:00,76.315,76.33,76.3,76.33,-1,-1
20230222  00:03:00,76.33,76.37,76.31,76.34,-1,-1
20230222  00:04:00,76.34,76.35,76.315,76.345,-1,-1
20230222  00:05:00,76.345,76.345,76.33,76.33,-1,-1
20230222  00:06:00,76.33,76.33,76.325,76.33,-1,-1
20230222  00:07:00,76.33,76.33,76.315,76.33,-1,-1
20230222  00:08:00,76.33,76.33,76.33,76.33,-1,-1
20230222  00:09:00,76.33,76.33,76.315,76.315,-1,-1
20230222  00:10:00,76.315,76.315,76.315,76.315,-1,-1
20230222  00:11:00,76.315,76.315,76.31,76.31,-1,-1
20230222  00:12:00,76.31,76.31,76.31,76.31,-1,-1
20230222  00:13:00,76.31,76.315,76.3,76.305,-1,-1
20230222  00:14:00,76.305,76.305,76.3,76.3,-1,-1
20230222  00:15:00,76.3,76.305,76.295,76.305,-1,-1
20230222  00:16:00,76.305,76.305,76.295,76.3,-1,-1
20230222  00:17:00,76.3,76.31,76.3,76.31,-1,-1
20230222  00:18:00,76.31,76.33,76.31,76.33,-1,-1
20230222  00:19:00,76.33,76.33,76.315,76.315,-1,-1
20230222  00:20:00,76.315,76.315,76.3,76.3,-1,-1
20230222  00:21:00,76.3,76.31,76.3,76.3,-1,-1
20230222  00:22:00,76.3,76.31,76.3,76.31,-1,-1
20230222  00:23:00,76.31,76.32,76.31,76.32,-1,-1
20230222  00:24:00,76.32,76.32,76.32,76.32,-1,-1
20230222  00:25:00,76.32,76.33,76.32,76.325,-1,-1
20230222  00:26:00,76.325,76.38,76.325,76.37,-1,-1
20230222  00:27:00,76.37,76.395,76.37,76.39,-1,-1
20230222  00:28:00,76.39,76.395,76.39,76.39,-1,-1
20230222  00:29:00,76.39,76.395,76.37,76.37,-1,-1
20230222  00:30:00,76.37,76.37,76.365,76.365,-1,-1
20230222  00:31:00,76.365,76.38,76.365,76.38,-1,-1
20230222  00:32:00,76.38,76.38,76.37,76.375,-1,-1
20230222  00:33:00,76.375,76.38,76.37,76.38,-1,-1
20230222  00:34:00,76.38,76.415,76.37,76.4,-1,-1
20230222  00:35:00,76.4,76.4,76.39,76.39,-1,-1
20230222  00:36:00,76.39,76.4,76.39,76.4,-1,-1
20230222  00:37:00,76.4,76.4,76.38,76.38,-1,-1
20230222  00:38:00,76.38,76.38,76.365,76.37,-1,-1
20230222  00:39:00,76.37,76.375,76.37,76.37,-1,-1
20230222  00:40:00,76.37,76.37,76.36,76.36,-1,-1
20230222  00:41:00,76.36,76.36,76.35,76.35,-1,-1
20230222  00:42:00,76.35,76.35,76.34,76.34,-1,-1
20230222  00:43:00,76.34,76.34,76.32,76.32,-1,-1
20230222  00:44:00,76.32,76.335,76.32,76.335,-1,-1
20230222  00:45:00,76.335,76.335,76.325,76.325,-1,-1
20230222  00:46:00,76.325,76.335,76.325,76.325,-1,-1
20230222  00:47:00,76.325,76.325,76.325,76.325,-1,-1
20230222  00:48:00,76.325,76.33,76.325,76.33,-1,-1
20230222  00:49:00,76.33,76.33,76.325,76.325,-1,-1
20230222  00:50:00,76.325,76.335,76.325,76.335,-1,-1
20230222  00:51:00,76.335,76.355,76.335,76.355,-1,-1
20230222  00:52:00,76.355,76.385,76.355,76.385,-1,-1
20230222  00:53:00,76.385,76.39,76.385,76.385,-1,-1
20230222  00:54:00,76.385,76.385,76.37,76.37,-1,-1
20230222  00:55:00,76.37,76.39,76.37,76.385,-1,-1
20230222  00:56:00,76.385,76.4,76.385,76.395,-1,-1
20230222  00:57:00,76.395,76.4,76.395,76.395,-1,-1
20230222  00:58:00,76.395,76.405,76.39,76.395,-1,-1
20230222  00:59:00,76.395,76.395,76.385,76.39,-1,-1
