date,open,high,low,close,volume,barCount
20230405  00:00:00,80.855,81.015,80.855,80.925,-1,-1
20230405  00:01:00,80.925,80.93,80.89,80.89,-1,-1
20230405  00:02:00,80.89,80.9,80.88,80.9,-1,-1
20230405  00:03:00,80.9,80.935,80.9,80.935,-1,-1
20230405  00:04:00,80.935,80.975,80.935,80.94,-1,-1
20230405  00:05:00,80.94,80.94,80.89,80.89,-1,-1
20230405  00:06:00,80.89,80.9,80.89,80.895,-1,-1
20230405  00:07:00,80.895,80.895,80.89,80.89,-1,-1
20230405  00:08:00,80.89,80.89,80.87,80.87,-1,-1
20230405  00:09:00,80.87,80.87,80.81,80.81,-1,-1
20230405  00:10:00,80.81,80.82,80.8,80.82,-1,-1
20230405  00:11:00,80.82,80.855,80.82,80.845,-1,-1
20230405  00:12:00,80.845,80.855,80.835,80.845,-1,-1
20230405  00:13:00,80.845,80.845,80.835,80.845,-1,-1
20230405  00:14:00,80.845,80.855,80.845,80.855,-1,-1
20230405  00:15:00,80.855,80.855,80.85,80.855,-1,-1
20230405  00:16:00,80.855,80.855,80.85,80.855,-1,-1
20230405  00:17:00,80.855,80.855,80.835,80.835,-1,-1
20230405  00:18:00,80.835,80.855,80.835,80.855,-1,-1
20230405  00:19:00,80.855,80.86,80.855,80.86,-1,-1
20230405  00:20:00,80.86,80.875,80.86,80.875,-1,-1
20230405  00:21:00,80.875,80.875,80.87,80.87,-1,-1
20230405  00:22:00,80.87,80.89,80.87,80.87,-1,-1
20230405  00:23:00,80.87,80.87,80.83,80.84,-1,-1
20230405  00:24:00,80.84,80.845,80.82,80.845,-1,-1
20230405  00:25:00,80.845,80.85,80.84,80.85,-1,-1
20230405  00:26:00,80.85,80.85,80.85,80.85,-1,-1
20230405  00:27:00,80.85,80.85,80.83,80.84,-1,-1
20230405  00:28:00,80.84,80.84,80.83,80.83,-1,-1
20230405  00:29:00,80.83,80.84,80.83,80.835,-1,-1
20230405  00:30:00,80.835,80.91,80.835,80.895,-1,-1
20230405  00:31:00,80.895,80.91,80.885,80.905,-1,-1
20230405  00:32:00,80.905,80.945,80.905,80.945,-1,-1
20230405  00:33:00,80.945,80.945,80.925,80.945,-1,-1
20230405  00:34:00,80.945,80.97,80.945,80.95,-1,-1
20230405  00:35:00,80.95,80.965,80.95,80.965,-1,-1
20230405  00:36:00,80.965,80.98,80.965,80.975,-1,-1
20230405  00:37:00,80.975,80.975,80.945,80.955,-1,-1
20230405  00:38:00,80.955,80.955,80.945,80.945,-1,-1
20230405  00:39:00,80.945,80.97,80.94,80.965,-1,-1
20230405  00:40:00,80.965,80.975,80.94,80.94,-1,-1
20230405  00:41:00,80.94,80.945,80.94,80.945,-1,-1
20230405  00:42:00,80.945,80.96,80.945,80.955,-1,-1
20230405  00:43:00,80.955,80.965,80.95,80.96,-1,-1
20230405  00:44:00,80.96,80.99,80.955,80.985,-1,-1
20230405  00:45:00,80.985,81.02,80.985,80.995,-1,-1
20230405  00:46:00,80.995,81.025,80.995,81.02,-1,-1
20230405  00:47:00,81.02,81.02,81.0,81.005,-1,-1
20230405  00:48:00,81.005,81.025,81.005,81.02,-1,-1
20230405  00:49:00,81.02,81.035,81.01,81.03,-1,-1
20230405  00:50:00,81.03,81.035,81.02,81.035,-1,-1
20230405  00:51:00,81.035,81.05,81.035,81.05,-1,-1
20230405  00:52:00,81.05,81.07,81.05,81.065,-1,-1
20230405  00:53:00,81.065,81.065,81.05,81.05,-1,-1
20230405  00:54:00,81.05,81.06,81.045,81.05,-1,-1
20230405  00:55:00,81.05,81.05,81.035,81.035,-1,-1
20230405  00:56:00,81.035,81.04,81.03,81.04,-1,-1
20230405  00:57:00,81.04,81.04,81.035,81.035,-1,-1
20230405  00:58:00,81.035,81.035,80.95,80.975,-1,-1
20230405  00:59:00,80.975,80.985,80.975,80.98,-1,-1
20230405  01:00:00,80.98,80.985,80.965,80.98,-1,-1
20230405  01:01:00,80.98,80.985,80.98,80.985,-1,-1
20230405  01:02:00,80.985,80.985,80.965,80.97,-1,-1
20230405  01:03:00,80.97,80.97,80.96,80.965,-1,-1
20230405  01:04:00,80.965,80.965,80.96,80.965,-1,-1
20230405  01:05:00,80.965,80.975,80.96,80.965,-1,-1
20230405  01:06:00,80.965,81.005,80.965,80.995,-1,-1
20230405  01:07:00,80.995,81.0,80.99,80.995,-1,-1
20230405  01:08:00,80.995,80.995,80.99,80.995,-1,-1
20230405  01:09:00,80.995,80.995,80.995,80.995,-1,-1
20230405  01:10:00,80.995,81.01,80.995,81.005,-1,-1
20230405  01:11:00,81.005,81.01,81.0,81.005,-1,-1
20230405  01:12:00,81.005,81.005,80.99,80.995,-1,-1
20230405  01:13:00,80.995,81.0,80.995,80.995,-1,-1
20230405  01:14:00,80.995,80.995,80.99,80.99,-1,-1
20230405  01:15:00,80.99,81.0,80.99,80.995,-1,-1
20230405  01:16:00,80.995,81.0,80.99,81.0,-1,-1
20230405  01:17:00,81.0,81.0,80.99,80.99,-1,-1
20230405  01:18:00,80.99,80.995,80.99,80.995,-1,-1
20230405  01:19:00,80.995,81.0,80.99,81.0,-1,-1
20230405  01:20:00,81.0,81.0,80.96,80.975,-1,-1
20230405  01:21:00,80.975,80.975,80.97,80.97,-1,-1
20230405  01:22:00,80.97,80.975,80.97,80.975,-1,-1
20230405  01:23:00,80.975,80.98,80.97,80.98,-1,-1
20230405  01:24:00,80.98,80.99,80.98,80.985,-1,-1
20230405  01:25:00,80.985,81.0,80.985,81.0,-1,-1
20230405  01:26:00,81.0,81.01,80.995,81.0,-1,-1
20230405  01:27:00,81.0,81.0,80.99,80.99,-1,-1
20230405  01:28:00,80.99,80.99,80.98,80.985,-1,-1
20230405  01:29:00,80.985,80.99,80.97,80.97,-1,-1
20230405  01:30:00,80.97,80.97,80.97,80.97,-1,-1
20230405  01:31:00,80.97,80.97,80.965,80.97,-1,-1
20230405  01:32:00,80.97,80.97,80.96,80.97,-1,-1
20230405  01:33:00,80.97,80.97,80.965,80.965,-1,-1
20230405  01:34:00,80.965,80.965,80.965,80.965,-1,-1
20230405  01:35:00,80.965,80.965,80.955,80.96,-1,-1
20230405  01:36:00,80.96,80.96,80.95,80.96,-1,-1
20230405  01:37:00,80.96,80.965,80.96,80.965,-1,-1
20230405  01:38:00,80.965,80.98,80.965,80.98,-1,-1
20230405  01:39:00,80.98,80.995,80.98,80.985,-1,-1
20230405  01:40:00,80.985,81.01,80.975,81.0,-1,-1
20230405  01:41:00,81.0,81.01,80.995,81.0,-1,-1
20230405  01:42:00,81.0,81.02,80.995,81.01,-1,-1
20230405  01:43:00,81.01,81.03,81.01,81.025,-1,-1
20230405  01:44:00,81.025,81.035,81.015,81.02,-1,-1
20230405  01:45:00,81.02,81.03,81.02,81.025,-1,-1
20230405  01:46:00,81.025,81.03,81.015,81.025,-1,-1
20230405  01:47:00,81.025,81.025,81.02,81.02,-1,-1
20230405  01:48:00,81.02,81.02,81.0,81.0,-1,-1
20230405  01:49:00,81.0,81.005,80.995,80.995,-1,-1
20230405  01:50:00,80.995,80.995,80.985,80.985,-1,-1
20230405  01:51:00,80.985,80.99,80.985,80.99,-1,-1
20230405  01:52:00,80.99,80.99,80.985,80.99,-1,-1
20230405  01:53:00,80.99,80.99,80.99,80.99,-1,-1
20230405  01:54:00,80.99,80.99,80.985,80.99,-1,-1
20230405  01:55:00,80.99,80.99,80.99,80.99,-1,-1
20230405  01:56:00,80.99,80.99,80.99,80.99,-1,-1
20230405  01:57:00,80.99,80.99,80.945,80.95,-1,-1
20230405  01:58:00,80.95,80.96,80.945,80.955,-1,-1
20230405  01:59:00,80.955,80.965,80.95,80.955,-1,-1
