date,open,high,low,close,volume,barCount
20230111  00:00:00,3941.0,3942.375,3940.625,3940.875,-1,-1
20230111  00:01:00,3940.875,3940.875,3940.25,3940.625,-1,-1
20230111  00:02:00,3940.625,3940.625,3939.125,3939.125,-1,-1
20230111  00:03:00,3939.125,3939.875,3938.875,3939.125,-1,-1
20230111  00:04:00,3939.125,3939.625,3938.875,3939.375,-1,-1
20230111  00:05:00,3939.375,3939.5,3939.125,3939.125,-1,-1
20230111  00:06:00,3939.125,3939.625,3939.125,3939.375,-1,-1
20230111  00:07:00,3939.375,3939.625,3939.125,3939.625,-1,-1
20230111  00:08:00,3939.625,3939.625,3939.375,3939.375,-1,-1
20230111  00:09:00,3939.375,3939.625,3938.625,3938.875,-1,-1
20230111  00:10:00,3938.875,3939.375,3938.875,3939.375,-1,-1
20230111  00:11:00,3939.375,3939.625,3939.375,3939.625,-1,-1
20230111  00:12:00,3939.625,3939.625,3938.875,3939.125,-1,-1
20230111  00:13:00,3939.125,3939.75,3939.125,3939.625,-1,-1
20230111  00:14:00,3939.625,3939.625,3939.125,3939.125,-1,-1
20230111  00:15:00,3939.125,3939.625,3938.875,3939.125,-1,-1
20230111  00:16:00,3939.125,3939.375,3939.125,3939.125,-1,-1
20230111  00:17:00,3939.125,3939.375,3939.125,3939.125,-1,-1
20230111  00:18:00,3939.125,3939.625,3939.125,3939.375,-1,-1
20230111  00:19:00,3939.375,3939.625,3939.375,3939.625,-1,-1
20230111  00:20:00,3939.625,3939.875,3939.625,3939.875,-1,-1
20230111  00:21:00,3939.875,3940.125,3939.875,3939.875,-1,-1
20230111  00:22:00,3939.875,3940.375,3939.875,3940.125,-1,-1
20230111  00:23:00,3940.125,3940.125,3940.125,3940.125,-1,-1
20230111  00:24:00,3940.125,3940.625,3940.125,3940.625,-1,-1
20230111  00:25:00,3940.625,3940.875,3940.375,3940.375,-1,-1
20230111  00:26:00,3940.375,3940.625,3940.375,3940.375,-1,-1
20230111  00:27:00,3940.375,3940.875,3940.375,3940.625,-1,-1
20230111  00:28:00,3940.625,3940.875,3940.625,3940.875,-1,-1
20230111  00:29:00,3940.875,3941.125,3940.875,3941.125,-1,-1
20230111  00:30:00,3941.125,3941.375,3940.875,3940.875,-1,-1
20230111  00:31:00,3940.875,3941.125,3940.375,3940.375,-1,-1
20230111  00:32:00,3940.375,3940.375,3939.625,3939.625,-1,-1
