date,open,high,low,close,volume,barCount
20230309  00:00:00,4036.75,4039.0,4033.375,4033.375,-1,-1
20230309  00:01:00,4033.375,4034.5,4033.375,4034.0,-1,-1
20230309  00:02:00,4034.0,4034.25,4033.625,4033.875,-1,-1
20230309  00:03:00,4033.875,4034.0,4033.625,4033.75,-1,-1
20230309  00:04:00,4033.75,4034.0,4033.625,4034.0,-1,-1
20230309  00:05:00,4034.0,4034.5,4033.5,4033.5,-1,-1
20230309  00:06:00,4033.5,4034.125,4033.5,4033.875,-1,-1
20230309  00:07:00,4033.875,4034.125,4033.875,4034.0,-1,-1
20230309  00:08:00,4034.0,4034.0,4033.625,4033.625,-1,-1
20230309  00:09:00,4033.625,4033.625,4032.875,4033.125,-1,-1
20230309  00:10:00,4033.125,4033.625,4033.125,4033.5,-1,-1
20230309  00:11:00,4033.5,4033.875,4033.0,4033.125,-1,-1
20230309  00:12:00,4033.125,4033.125,4032.75,4033.0,-1,-1
20230309  00:13:00,4033.0,4033.625,4033.0,4033.625,-1,-1
20230309  00:14:00,4033.625,4033.625,4032.875,4033.125,-1,-1
20230309  00:15:00,4033.125,4033.25,4032.625,4033.125,-1,-1
20230309  00:16:00,4033.125,4033.125,4032.625,4033.0,-1,-1
20230309  00:17:00,4033.0,4033.125,4032.875,4032.875,-1,-1
20230309  00:18:00,4032.875,4033.125,4032.75,4033.125,-1,-1
20230309  00:19:00,4033.125,4033.375,4032.875,4033.25,-1,-1
20230309  00:20:00,4033.25,4033.625,4032.875,4032.875,-1,-1
20230309  00:21:00,4032.875,4032.875,4032.625,4032.875,-1,-1
20230309  00:22:00,4032.875,4033.0,4032.75,4033.0,-1,-1
20230309  00:23:00,4033.0,4033.0,4032.375,4032.5,-1,-1
20230309  00:24:00,4032.5,4032.875,4032.125,4032.875,-1,-1
20230309  00:25:00,4032.875,4032.875,4032.375,4032.625,-1,-1
20230309  00:26:00,4032.625,4032.75,4032.375,4032.625,-1,-1
20230309  00:27:00,4032.625,4032.625,4032.125,4032.25,-1,-1
20230309  00:28:00,4032.25,4032.625,4032.125,4032.625,-1,-1
20230309  00:29:00,4032.625,4033.125,4032.625,4033.0,-1,-1
20230309  00:30:00,4033.0,4034.875,4033.0,4034.375,-1,-1
20230309  00:31:00,4034.375,4034.625,4033.625,4033.625,-1,-1
20230309  00:32:00,4033.625,4033.875,4033.5,4033.875,-1,-1
20230309  00:33:00,4033.875,4033.875,4033.5,4033.875,-1,-1
20230309  00:34:00,4033.875,4034.125,4033.875,4034.125,-1,-1
20230309  00:35:00,4034.125,4034.375,4034.0,4034.125,-1,-1
20230309  00:36:00,4034.125,4034.125,4033.375,4033.5,-1,-1
20230309  00:37:00,4033.5,4033.5,4033.0,4033.375,-1,-1
20230309  00:38:00,4033.375,4033.375,4032.875,4033.375,-1,-1
20230309  00:39:00,4033.375,4033.375,4033.125,4033.125,-1,-1
20230309  00:40:00,4033.125,4033.125,4032.875,4033.0,-1,-1
20230309  00:41:00,4033.0,4033.125,4032.625,4032.75,-1,-1
20230309  00:42:00,4032.75,4033.125,4032.625,4032.875,-1,-1
20230309  00:43:00,4032.875,4033.125,4032.875,4033.125,-1,-1
20230309  00:44:00,4033.125,4033.75,4033.0,4033.375,-1,-1
20230309  00:45:00,4033.375,4033.875,4032.875,4032.875,-1,-1
20230309  00:46:00,4032.875,4033.125,4032.875,4033.0,-1,-1
20230309  00:47:00,4033.0,4034.125,4033.0,4034.125,-1,-1
20230309  00:48:00,4034.125,4034.125,4033.375,4033.375,-1,-1
20230309  00:49:00,4033.375,4034.0,4033.125,4033.375,-1,-1
20230309  00:50:00,4033.375,4033.5,4032.125,4032.25,-1,-1
20230309  00:51:00,4032.25,4032.625,4032.25,4032.625,-1,-1
20230309  00:52:00,4032.625,4032.875,4032.0,4032.125,-1,-1
20230309  00:53:00,4032.125,4032.125,4031.625,4031.875,-1,-1
20230309  00:54:00,4031.875,4032.625,4031.875,4032.375,-1,-1
20230309  00:55:00,4032.375,4032.375,4031.625,4032.125,-1,-1
20230309  00:56:00,4032.125,4032.25,4031.625,4031.75,-1,-1
20230309  00:57:00,4031.75,4032.375,4031.625,4032.375,-1,-1
20230309  00:58:00,4032.375,4032.5,4032.125,4032.375,-1,-1
20230309  00:59:00,4032.375,4032.5,4031.875,4032.25,-1,-1
