date,open,high,low,close,volume,barCount
20221012  00:00:00,3607.0,3607.875,3605.875,3607.375,-1,-1
20221012  00:01:00,3607.375,3607.375,3605.125,3606.125,-1,-1
20221012  00:02:00,3606.125,3606.125,3604.125,3604.25,-1,-1
20221012  00:03:00,3604.25,3604.875,3604.125,3604.375,-1,-1
20221012  00:04:00,3604.375,3606.375,3604.375,3605.25,-1,-1
20221012  00:05:00,3605.25,3606.125,3605.25,3606.125,-1,-1
20221012  00:06:00,3606.125,3606.625,3605.625,3606.0,-1,-1
20221012  00:07:00,3606.0,3606.125,3605.375,3605.875,-1,-1
20221012  00:08:00,3605.875,3606.375,3605.625,3606.375,-1,-1
20221012  00:09:00,3606.375,3606.625,3605.875,3606.5,-1,-1
20221012  00:10:00,3606.5,3607.375,3604.125,3605.0,-1,-1
20221012  00:11:00,3605.0,3606.875,3604.5,3606.375,-1,-1
20221012  00:12:00,3606.375,3606.75,3605.125,3605.25,-1,-1
20221012  00:13:00,3605.25,3605.375,3605.125,3605.375,-1,-1
20221012  00:14:00,3605.375,3605.625,3605.375,3605.375,-1,-1
20221012  00:15:00,3605.375,3606.625,3604.875,3606.625,-1,-1
20221012  00:16:00,3606.625,3607.625,3606.625,3607.375,-1,-1
20221012  00:17:00,3607.375,3607.875,3607.125,3607.625,-1,-1
20221012  00:18:00,3607.625,3607.625,3607.375,3607.625,-1,-1
20221012  00:19:00,3607.625,3607.625,3607.125,3607.375,-1,-1
20221012  00:20:00,3607.375,3607.625,3606.875,3606.875,-1,-1
20221012  00:21:00,3606.875,3606.875,3606.375,3606.375,-1,-1
20221012  00:22:00,3606.375,3606.875,3605.625,3606.375,-1,-1
20221012  00:23:00,3606.375,3606.875,3606.375,3606.875,-1,-1
20221012  00:24:00,3606.875,3607.375,3606.375,3606.375,-1,-1
20221012  00:25:00,3606.375,3606.625,3605.875,3606.5,-1,-1
20221012  00:26:00,3606.5,3606.625,3605.625,3605.875,-1,-1
20221012  00:27:00,3605.875,3605.875,3604.375,3605.0,-1,-1
20221012  00:28:00,3605.0,3605.125,3604.125,3604.125,-1,-1
20221012  00:29:00,3604.125,3604.625,3603.625,3603.625,-1,-1
20221012  00:30:00,3603.625,3604.375,3603.625,3603.875,-1,-1
20221012  00:31:00,3603.875,3604.125,3603.625,3603.875,-1,-1
20221012  00:32:00,3603.875,3604.375,3601.875,3601.875,-1,-1
20221012  00:33:00,3601.875,3601.875,3601.625,3601.875,-1,-1
20221012  00:34:00,3601.875,3601.875,3601.375,3601.625,-1,-1
20221012  00:35:00,3601.625,3601.875,3601.5,3601.625,-1,-1
20221012  00:36:00,3601.625,3601.875,3601.125,3601.125,-1,-1
20221012  00:37:00,3601.125,3601.875,3601.125,3601.875,-1,-1
20221012  00:38:00,3601.875,3603.875,3601.875,3603.625,-1,-1
20221012  00:39:00,3603.625,3603.875,3603.125,3603.875,-1,-1
20221012  00:40:00,3603.875,3604.75,3603.625,3604.75,-1,-1
20221012  00:41:00,3604.75,3605.125,3604.625,3604.625,-1,-1
20221012  00:42:00,3604.625,3604.875,3604.625,3604.625,-1,-1
20221012  00:43:00,3604.625,3605.125,3604.375,3605.0,-1,-1
20221012  00:44:00,3605.0,3605.625,3604.875,3605.375,-1,-1
20221012  00:45:00,3605.375,3605.625,3603.875,3603.875,-1,-1
20221012  00:46:00,3603.875,3604.375,3603.875,3604.0,-1,-1
20221012  00:47:00,3604.0,3604.375,3603.625,3603.875,-1,-1
20221012  00:48:00,3603.875,3605.375,3603.875,3604.625,-1,-1
20221012  00:49:00,3604.625,3604.625,3603.875,3603.875,-1,-1
20221012  00:50:00,3603.875,3604.5,3603.625,3604.5,-1,-1
20221012  00:51:00,3604.5,3605.125,3604.375,3605.0,-1,-1
20221012  00:52:00,3605.0,3605.125,3604.125,3604.125,-1,-1
20221012  00:53:00,3604.125,3604.875,3604.125,3604.625,-1,-1
20221012  00:54:00,3604.625,3604.875,3604.625,3604.625,-1,-1
20221012  00:55:00,3604.625,3605.125,3604.625,3605.0,-1,-1
20221012  00:56:00,3605.0,3605.125,3604.625,3604.625,-1,-1
20221012  00:57:00,3604.625,3604.875,3604.375,3604.5,-1,-1
20221012  00:58:00,3604.5,3604.625,3604.25,3604.25,-1,-1
