date,open,high,low,close,volume,barCount
20221125  00:00:00,11914.25,11920.75,11913.5,11916.875,-1,-1
20221125  00:01:00,11916.875,11921.625,11915.375,11921.625,-1,-1
20221125  00:02:00,11921.625,11922.875,11919.875,11920.875,-1,-1
20221125  00:03:00,11920.875,11920.875,11919.5,11920.375,-1,-1
20221125  00:04:00,11920.375,11920.375,11919.5,11919.875,-1,-1
20221125  00:05:00,11919.875,11920.5,11917.875,11918.625,-1,-1
20221125  00:06:00,11918.625,11919.0,11917.5,11917.625,-1,-1
20221125  00:07:00,11917.625,11919.875,11916.875,11919.5,-1,-1
20221125  00:08:00,11919.5,11919.5,11918.0,11918.125,-1,-1
20221125  00:09:00,11918.125,11918.875,11917.5,11917.875,-1,-1
20221125  00:10:00,11917.875,11919.25,11917.25,11917.875,-1,-1
20221125  00:11:00,11917.875,11919.375,11917.625,11919.0,-1,-1
20221125  00:12:00,11919.0,11919.0,11916.875,11918.125,-1,-1
20221125  00:13:00,11918.125,11918.125,11914.5,11915.375,-1,-1
20221125  00:14:00,11915.375,11917.375,11915.125,11915.125,-1,-1
20221125  00:15:00,11915.125,11915.375,11914.375,11914.625,-1,-1
20221125  00:16:00,11914.625,11915.75,11914.5,11915.625,-1,-1
20221125  00:17:00,11915.625,11915.625,11914.5,11915.5,-1,-1
20221125  00:18:00,11915.5,11918.25,11915.25,11916.125,-1,-1
20221125  00:19:00,11916.125,11918.625,11916.125,11918.25,-1,-1
20221125  00:20:00,11918.25,11919.75,11917.875,11919.75,-1,-1
20221125  00:21:00,11919.75,11920.0,11918.875,11920.0,-1,-1
20221125  00:22:00,11920.0,11920.125,11919.0,11920.0,-1,-1
20221125  00:23:00,11920.0,11920.375,11919.25,11919.25,-1,-1
20221125  00:24:00,11919.25,11919.75,11918.875,11919.375,-1,-1
20221125  00:25:00,11919.375,11919.875,11919.25,11919.875,-1,-1
20221125  00:26:00,11919.875,11920.75,11919.25,11920.125,-1,-1
20221125  00:27:00,11920.125,11920.5,11919.875,11920.5,-1,-1
20221125  00:28:00,11920.5,11920.5,11920.25,11920.25,-1,-1
20221125  00:29:00,11920.25,11922.25,11920.25,11921.5,-1,-1
20221125  00:30:00,11921.5,11922.75,11920.75,11921.75,-1,-1
20221125  00:31:00,11921.75,11922.375,11920.375,11921.875,-1,-1
20221125  00:32:00,11921.875,11922.25,11921.25,11921.25,-1,-1
20221125  00:33:00,11921.25,11921.5,11920.75,11921.25,-1,-1
20221125  00:34:00,11921.25,11921.5,11920.875,11921.25,-1,-1
20221125  00:35:00,11921.25,11921.25,11919.875,11920.25,-1,-1
20221125  00:36:00,11920.25,11921.125,11920.0,11921.0,-1,-1
20221125  00:37:00,11921.0,11921.0,11920.25,11920.25,-1,-1
20221125  00:38:00,11920.25,11923.625,11919.75,11923.0,-1,-1
20221125  00:39:00,11923.0,11924.0,11922.375,11922.5,-1,-1
20221125  00:40:00,11922.5,11922.5,11920.75,11921.25,-1,-1
20221125  00:41:00,11921.25,11921.25,11920.5,11920.625,-1,-1
20221125  00:42:00,11920.625,11921.25,11920.5,11921.25,-1,-1
20221125  00:43:00,11921.25,11921.625,11920.625,11921.25,-1,-1
20221125  00:44:00,11921.25,11921.5,11920.125,11920.75,-1,-1
20221125  00:45:00,11920.75,11921.25,11919.75,11919.75,-1,-1
20221125  00:46:00,11919.75,11920.75,11919.0,11919.625,-1,-1
20221125  00:47:00,11919.625,11920.875,11919.625,11920.25,-1,-1
20221125  00:48:00,11920.25,11920.875,11920.25,11920.375,-1,-1
20221125  00:49:00,11920.375,11920.75,11920.125,11920.375,-1,-1
20221125  00:50:00,11920.375,11920.75,11920.0,11920.125,-1,-1
20221125  00:51:00,11920.125,11920.125,11918.5,11918.875,-1,-1
20221125  00:52:00,11918.875,11919.125,11918.625,11918.625,-1,-1
20221125  00:53:00,11918.625,11919.875,11918.5,11919.875,-1,-1
20221125  00:54:00,11919.875,11920.375,11919.5,11920.0,-1,-1
20221125  00:55:00,11920.0,11920.25,11918.125,11919.375,-1,-1
20221125  00:56:00,11919.375,11920.375,11918.875,11920.125,-1,-1
20221125  00:57:00,11920.125,11920.25,11919.125,11920.25,-1,-1
20221125  00:58:00,11920.25,11920.25,11918.25,11918.25,-1,-1
20221125  00:59:00,11918.25,11918.25,11917.25,11917.5,-1,-1
