date,open,high,low,close,volume,barCount
20230113  00:00:00,11528.5,11528.5,11520.375,11520.625,-1,-1
20230113  00:01:00,11520.625,11521.375,11518.875,11518.875,-1,-1
20230113  00:02:00,11518.875,11519.875,11518.125,11518.625,-1,-1
20230113  00:03:00,11518.625,11519.875,11517.375,11518.375,-1,-1
20230113  00:04:00,11518.375,11519.5,11517.125,11518.125,-1,-1
20230113  00:05:00,11518.125,11519.375,11514.875,11514.875,-1,-1
20230113  00:06:00,11514.875,11517.625,11514.125,11516.875,-1,-1
20230113  00:07:00,11516.875,11518.5,11515.875,11516.25,-1,-1
20230113  00:08:00,11516.25,11517.5,11516.125,11516.625,-1,-1
20230113  00:09:00,11516.625,11520.5,11516.625,11519.25,-1,-1
20230113  00:10:00,11519.25,11520.625,11518.625,11518.75,-1,-1
20230113  00:11:00,11518.75,11519.125,11516.625,11517.25,-1,-1
20230113  00:12:00,11517.25,11517.625,11515.375,11515.75,-1,-1
20230113  00:13:00,11515.75,11520.0,11514.75,11518.375,-1,-1
20230113  00:14:00,11518.375,11521.375,11518.375,11520.375,-1,-1
20230113  00:15:00,11520.375,11521.875,11520.375,11520.75,-1,-1
20230113  00:16:00,11520.75,11522.5,11520.375,11520.375,-1,-1
20230113  00:17:00,11520.375,11521.125,11519.875,11520.625,-1,-1
20230113  00:18:00,11520.625,11520.625,11519.625,11519.75,-1,-1
20230113  00:19:00,11519.75,11521.75,11519.75,11521.5,-1,-1
20230113  00:20:00,11521.5,11521.875,11520.875,11521.75,-1,-1
20230113  00:21:00,11521.75,11523.25,11521.375,11523.25,-1,-1
20230113  00:22:00,11523.25,11523.625,11522.5,11523.5,-1,-1
20230113  00:23:00,11523.5,11524.375,11521.125,11521.75,-1,-1
20230113  00:24:00,11521.75,11524.0,11521.25,11524.0,-1,-1
20230113  00:25:00,11524.0,11524.875,11523.5,11524.0,-1,-1
20230113  00:26:00,11524.0,11524.0,11522.125,11522.375,-1,-1
20230113  00:27:00,11522.375,11523.125,11521.375,11522.875,-1,-1
20230113  00:28:00,11522.875,11524.375,11522.375,11524.125,-1,-1
20230113  00:29:00,11524.125,11524.875,11523.125,11524.5,-1,-1
20230113  00:30:00,11524.5,11525.5,11523.75,11524.25,-1,-1
20230113  00:31:00,11524.25,11525.5,11522.875,11522.875,-1,-1
20230113  00:32:00,11522.875,11524.0,11522.75,11522.75,-1,-1
20230113  00:33:00,11522.75,11522.75,11520.875,11521.25,-1,-1
20230113  00:34:00,11521.25,11524.75,11521.25,11524.125,-1,-1
20230113  00:35:00,11524.125,11524.375,11523.375,11523.75,-1,-1
20230113  00:36:00,11523.75,11524.0,11522.875,11523.25,-1,-1
20230113  00:37:00,11523.25,11524.0,11522.75,11524.0,-1,-1
20230113  00:38:00,11524.0,11524.75,11523.125,11523.625,-1,-1
20230113  00:39:00,11523.625,11523.625,11522.875,11522.875,-1,-1
20230113  00:40:00,11522.875,11523.875,11522.375,11522.625,-1,-1
20230113  00:41:00,11522.625,11522.875,11520.875,11521.0,-1,-1
20230113  00:42:00,11521.0,11521.125,11520.25,11520.875,-1,-1
20230113  00:43:00,11520.875,11521.25,11520.125,11520.375,-1,-1
20230113  00:44:00,11520.375,11521.75,11519.625,11521.625,-1,-1
20230113  00:45:00,11521.625,11524.5,11521.625,11524.0,-1,-1
20230113  00:46:00,11524.0,11524.25,11522.625,11523.0,-1,-1
20230113  00:47:00,11523.0,11524.125,11522.625,11523.375,-1,-1
20230113  00:48:00,11523.375,11523.375,11522.625,11522.875,-1,-1
20230113  00:49:00,11522.875,11523.0,11521.125,11521.625,-1,-1
20230113  00:50:00,11521.625,11522.5,11521.25,11522.375,-1,-1
20230113  00:51:00,11522.375,11522.625,11521.5,11522.25,-1,-1
20230113  00:52:00,11522.25,11522.75,11521.875,11521.875,-1,-1
20230113  00:53:00,11521.875,11522.375,11521.25,11521.375,-1,-1
20230113  00:54:00,11521.375,11522.875,11520.375,11522.625,-1,-1
20230113  00:55:00,11522.625,11522.625,11521.0,11522.25,-1,-1
20230113  00:56:00,11522.25,11523.125,11521.75,11523.125,-1,-1
20230113  00:57:00,11523.125,11526.125,11523.125,11526.0,-1,-1
20230113  00:58:00,11526.0,11526.75,11525.5,11525.875,-1,-1
20230113  00:59:00,11525.875,11526.0,11523.375,11524.375,-1,-1
20230113  01:00:00,11524.375,11527.5,11523.375,11527.375,-1,-1
20230113  01:01:00,11527.375,11529.75,11526.875,11529.375,-1,-1
20230113  01:02:00,11529.375,11531.25,11528.125,11531.125,-1,-1
20230113  01:03:00,11531.125,11531.875,11529.375,11529.625,-1,-1
20230113  01:04:00,11529.625,11531.125,11528.0,11529.125,-1,-1
20230113  01:05:00,11529.125,11531.0,11528.25,11528.25,-1,-1
20230113  01:06:00,11528.25,11528.375,11526.75,11527.25,-1,-1
20230113  01:07:00,11527.25,11527.75,11525.25,11525.5,-1,-1
20230113  01:08:00,11525.5,11528.5,11525.5,11528.5,-1,-1
20230113  01:09:00,11528.5,11533.625,11528.5,11531.75,-1,-1
20230113  01:10:00,11531.75,11532.0,11529.625,11529.75,-1,-1
20230113  01:11:00,11529.75,11529.875,11526.875,11527.0,-1,-1
20230113  01:12:00,11527.0,11530.25,11525.25,11530.25,-1,-1
20230113  01:13:00,11530.25,11531.75,11529.625,11530.875,-1,-1
20230113  01:14:00,11530.875,11531.625,11529.75,11531.5,-1,-1
20230113  01:15:00,11531.5,11533.125,11530.75,11532.75,-1,-1
20230113  01:16:00,11532.75,11533.75,11529.75,11533.0,-1,-1
20230113  01:17:00,11533.0,11533.25,11531.25,11531.375,-1,-1
20230113  01:18:00,11531.375,11535.0,11530.625,11533.25,-1,-1
20230113  01:19:00,11533.25,11533.25,11531.875,11532.75,-1,-1
20230113  01:20:00,11532.75,11533.25,11531.875,11532.375,-1,-1
20230113  01:21:00,11532.375,11535.75,11532.125,11535.75,-1,-1
20230113  01:22:00,11535.75,11535.875,11533.625,11534.625,-1,-1
20230113  01:23:00,11534.625,11535.75,11534.125,11534.625,-1,-1
20230113  01:24:00,11534.625,11535.75,11534.5,11535.75,-1,-1
20230113  01:25:00,11535.75,11536.375,11534.5,11534.875,-1,-1
20230113  01:26:00,11534.875,11535.875,11534.25,11535.0,-1,-1
20230113  01:27:00,11535.0,11535.625,11534.125,11534.375,-1,-1
20230113  01:28:00,11534.375,11535.0,11532.375,11533.0,-1,-1
20230113  01:29:00,11533.0,11533.25,11529.625,11531.0,-1,-1
20230113  01:30:00,11531.0,11533.875,11531.0,11533.375,-1,-1
20230113  01:31:00,11533.375,11535.125,11531.875,11531.875,-1,-1
20230113  01:32:00,11531.875,11532.625,11529.25,11530.875,-1,-1
20230113  01:33:00,11530.875,11531.625,11529.5,11529.5,-1,-1
20230113  01:34:00,11529.5,11529.5,11527.25,11527.75,-1,-1
20230113  01:35:00,11527.75,11528.625,11527.0,11528.375,-1,-1
20230113  01:36:00,11528.375,11529.25,11525.375,11526.625,-1,-1
20230113  01:37:00,11526.625,11529.125,11526.5,11527.75,-1,-1
20230113  01:38:00,11527.75,11529.375,11527.75,11529.25,-1,-1
20230113  01:39:00,11529.25,11530.125,11526.625,11528.0,-1,-1
20230113  01:40:00,11528.0,11528.0,11518.75,11519.0,-1,-1
20230113  01:41:00,11519.0,11523.25,11517.875,11522.25,-1,-1
20230113  01:42:00,11522.25,11523.5,11521.625,11523.0,-1,-1
20230113  01:43:00,11523.0,11523.5,11521.5,11521.875,-1,-1
20230113  01:44:00,11521.875,11522.125,11518.875,11520.125,-1,-1
20230113  01:45:00,11520.125,11522.625,11518.875,11519.375,-1,-1
20230113  01:46:00,11519.375,11521.25,11519.125,11519.5,-1,-1
20230113  01:47:00,11519.5,11522.125,11519.5,11521.625,-1,-1
20230113  01:48:00,11521.625,11521.75,11519.75,11520.75,-1,-1
20230113  01:49:00,11520.75,11523.125,11520.5,11522.0,-1,-1
20230113  01:50:00,11522.0,11522.5,11521.5,11521.875,-1,-1
20230113  01:51:00,11521.875,11521.875,11519.625,11521.0,-1,-1
20230113  01:52:00,11521.0,11522.75,11521.0,11522.25,-1,-1
20230113  01:53:00,11522.25,11523.625,11521.0,11521.125,-1,-1
20230113  01:54:00,11521.125,11522.0,11520.375,11520.375,-1,-1
20230113  01:55:00,11520.375,11521.875,11520.125,11521.125,-1,-1
20230113  01:56:00,11521.125,11521.75,11519.375,11520.5,-1,-1
20230113  01:57:00,11520.5,11522.125,11520.375,11521.25,-1,-1
20230113  01:58:00,11521.25,11522.125,11520.625,11520.875,-1,-1
20230113  01:59:00,11520.875,11522.0,11519.125,11519.625,-1,-1
20230113  02:00:00,11519.625,11523.125,11517.375,11521.875,-1,-1
20230113  02:01:00,11521.875,11523.75,11521.5,11523.125,-1,-1
20230113  02:02:00,11523.125,11524.25,11521.125,11521.875,-1,-1
20230113  02:03:00,11521.875,11521.875,11519.5,11521.0,-1,-1
20230113  02:04:00,11521.0,11523.125,11521.0,11522.75,-1,-1
20230113  02:05:00,11522.75,11523.25,11521.5,11523.25,-1,-1
20230113  02:06:00,11523.25,11524.75,11522.125,11523.625,-1,-1
20230113  02:07:00,11523.625,11526.0,11523.375,11525.75,-1,-1
20230113  02:08:00,11525.75,11526.125,11524.5,11525.875,-1,-1
20230113  02:09:00,11525.875,11527.625,11524.375,11524.625,-1,-1
20230113  02:10:00,11524.625,11526.875,11524.625,11525.625,-1,-1
20230113  02:11:00,11525.625,11527.375,11524.625,11525.25,-1,-1
20230113  02:12:00,11525.25,11527.0,11525.125,11525.75,-1,-1
20230113  02:13:00,11525.75,11527.625,11524.625,11524.875,-1,-1
20230113  02:14:00,11524.875,11526.875,11523.75,11526.625,-1,-1
20230113  02:15:00,11526.625,11527.0,11516.75,11518.625,-1,-1
20230113  02:16:00,11518.625,11520.0,11510.375,11511.625,-1,-1
20230113  02:17:00,11511.625,11513.75,11511.5,11512.625,-1,-1
20230113  02:18:00,11512.625,11513.75,11508.75,11509.75,-1,-1
20230113  02:19:00,11509.75,11512.5,11509.375,11510.875,-1,-1
20230113  02:20:00,11510.875,11515.625,11510.625,11512.625,-1,-1
20230113  02:21:00,11512.625,11515.125,11512.25,11514.0,-1,-1
20230113  02:22:00,11514.0,11514.125,11509.75,11511.875,-1,-1
20230113  02:23:00,11511.875,11513.0,11510.0,11510.625,-1,-1
20230113  02:24:00,11510.625,11510.625,11506.625,11508.25,-1,-1
20230113  02:25:00,11508.25,11511.0,11506.25,11507.625,-1,-1
20230113  02:26:00,11507.625,11509.75,11503.75,11503.875,-1,-1
20230113  02:27:00,11503.875,11507.25,11501.625,11505.625,-1,-1
20230113  02:28:00,11505.625,11507.25,11504.5,11507.0,-1,-1
20230113  02:29:00,11507.0,11508.0,11505.625,11507.875,-1,-1
20230113  02:30:00,11507.875,11507.875,11500.375,11502.375,-1,-1
20230113  02:31:00,11502.375,11502.875,11500.25,11501.375,-1,-1
20230113  02:32:00,11501.375,11502.125,11495.875,11500.625,-1,-1
20230113  02:33:00,11500.625,11500.75,11491.25,11491.625,-1,-1
