date,open,high,low,close,volume,barCount
20230306  00:00:00,12464.875,12467.75,12431.75,12431.75,-1,-1
20230306  00:01:00,12431.75,12435.375,12428.625,12429.25,-1,-1
20230306  00:02:00,12429.25,12429.625,12423.875,12425.375,-1,-1
20230306  00:03:00,12425.375,12426.625,12424.75,12426.125,-1,-1
20230306  00:04:00,12426.125,12426.125,12424.375,12424.5,-1,-1
20230306  00:05:00,12424.5,12431.25,12424.5,12428.5,-1,-1
20230306  00:06:00,12428.5,12429.375,12427.0,12427.75,-1,-1
20230306  00:07:00,12427.75,12428.375,12427.75,12428.375,-1,-1
20230306  00:08:00,12428.375,12431.125,12421.875,12424.375,-1,-1
20230306  00:09:00,12424.375,12429.5,12424.0,12424.0,-1,-1
20230306  00:10:00,12424.0,12424.75,12413.625,12414.625,-1,-1
20230306  00:11:00,12414.625,12420.375,12414.0,12420.25,-1,-1
20230306  00:12:00,12420.25,12421.75,12419.75,12420.625,-1,-1
20230306  00:13:00,12420.625,12424.625,12420.625,12423.375,-1,-1
20230306  00:14:00,12423.375,12425.625,12423.0,12423.5,-1,-1
20230306  00:15:00,12423.5,12423.5,12421.0,12421.75,-1,-1
20230306  00:16:00,12421.75,12422.25,12418.75,12419.625,-1,-1
20230306  00:17:00,12419.625,12419.75,12413.125,12419.75,-1,-1
20230306  00:18:00,12419.75,12421.25,12419.125,12419.125,-1,-1
20230306  00:19:00,12419.125,12419.25,12415.875,12418.125,-1,-1
20230306  00:20:00,12418.125,12419.375,12417.0,12417.875,-1,-1
20230306  00:21:00,12417.875,12418.0,12415.5,12417.375,-1,-1
20230306  00:22:00,12417.375,12418.625,12413.75,12414.0,-1,-1
20230306  00:23:00,12414.0,12417.625,12414.0,12416.25,-1,-1
20230306  00:24:00,12416.25,12416.5,12412.75,12413.625,-1,-1
20230306  00:25:00,12413.625,12415.625,12412.25,12413.25,-1,-1
20230306  00:26:00,12413.25,12415.875,12413.25,12414.625,-1,-1
20230306  00:27:00,12414.625,12417.625,12414.625,12417.625,-1,-1
20230306  00:28:00,12417.625,12419.0,12416.625,12418.625,-1,-1
20230306  00:29:00,12418.625,12418.625,12416.125,12416.125,-1,-1
20230306  00:30:00,12416.125,12417.5,12416.125,12416.25,-1,-1
20230306  00:31:00,12416.25,12416.25,12414.0,12415.75,-1,-1
20230306  00:32:00,12415.75,12421.75,12415.75,12421.625,-1,-1
20230306  00:33:00,12421.625,12421.75,12420.125,12420.125,-1,-1
20230306  00:34:00,12420.125,12422.625,12420.125,12420.625,-1,-1
20230306  00:35:00,12420.625,12422.125,12419.875,12422.0,-1,-1
20230306  00:36:00,12422.0,12423.75,12422.0,12422.875,-1,-1
20230306  00:37:00,12422.875,12424.5,12422.375,12423.875,-1,-1
20230306  00:38:00,12423.875,12424.875,12422.125,12424.125,-1,-1
20230306  00:39:00,12424.125,12425.0,12422.625,12422.625,-1,-1
20230306  00:40:00,12422.625,12423.625,12422.625,12423.0,-1,-1
20230306  00:41:00,12423.0,12423.0,12423.0,12423.0,-1,-1
20230306  00:42:00,12423.0,12423.5,12422.375,12422.75,-1,-1
20230306  00:43:00,12422.75,12422.75,12422.0,12422.25,-1,-1
20230306  00:44:00,12422.25,12423.0,12421.75,12422.875,-1,-1
20230306  00:45:00,12422.875,12424.0,12420.125,12420.375,-1,-1
20230306  00:46:00,12420.375,12421.125,12420.25,12421.125,-1,-1
20230306  00:47:00,12421.125,12423.0,12421.0,12422.875,-1,-1
20230306  00:48:00,12422.875,12423.5,12422.625,12422.875,-1,-1
20230306  00:49:00,12422.875,12423.25,12422.875,12423.125,-1,-1
20230306  00:50:00,12423.125,12424.875,12423.125,12424.5,-1,-1
20230306  00:51:00,12424.5,12424.5,12420.875,12421.375,-1,-1
20230306  00:52:00,12421.375,12421.875,12420.875,12420.875,-1,-1
20230306  00:53:00,12420.875,12422.5,12418.5,12422.5,-1,-1
20230306  00:54:00,12422.5,12429.25,12422.5,12429.25,-1,-1
20230306  00:55:00,12429.25,12429.25,12427.0,12428.125,-1,-1
20230306  00:56:00,12428.125,12428.125,12426.0,12426.0,-1,-1
20230306  00:57:00,12426.0,12426.75,12426.0,12426.25,-1,-1
20230306  00:58:00,12426.25,12428.375,12426.25,12428.375,-1,-1
20230306  00:59:00,12428.375,12428.375,12427.25,12428.0,-1,-1
