date,open,high,low,close,volume,barCount
20221007  00:00:00,1755.4,1755.4,1753.45,1754.1,-1,-1
20221007  00:01:00,1754.1,1755.35,1753.6,1755.0,-1,-1
20221007  00:02:00,1755.0,1756.35,1755.0,1755.9,-1,-1
20221007  00:03:00,1755.9,1756.55,1755.85,1756.0,-1,-1
20221007  00:04:00,1756.0,1757.2,1756.0,1757.0,-1,-1
20221007  00:05:00,1757.0,1757.15,1756.7,1756.95,-1,-1
20221007  00:06:00,1756.95,1756.95,1755.35,1755.5,-1,-1
20221007  00:07:00,1755.5,1755.9,1754.75,1755.65,-1,-1
20221007  00:08:00,1755.65,1756.5,1755.6,1756.15,-1,-1
20221007  00:09:00,1756.15,1756.45,1755.8,1756.2,-1,-1
20221007  00:10:00,1756.2,1756.45,1755.4,1755.6,-1,-1
20221007  00:11:00,1755.6,1757.45,1755.6,1757.3,-1,-1
20221007  00:12:00,1757.3,1757.35,1756.5,1756.65,-1,-1
20221007  00:13:00,1756.65,1757.0,1756.4,1756.95,-1,-1
20221007  00:14:00,1756.95,1757.35,1756.85,1757.0,-1,-1
20221007  00:15:00,1757.0,1757.15,1756.5,1756.85,-1,-1
20221007  00:16:00,1756.85,1757.1,1756.75,1757.1,-1,-1
20221007  00:17:00,1757.1,1757.1,1756.95,1757.1,-1,-1
20221007  00:18:00,1757.1,1757.25,1757.0,1757.1,-1,-1
20221007  00:19:00,1757.1,1757.25,1756.9,1757.25,-1,-1
20221007  00:20:00,1757.25,1758.0,1756.5,1756.95,-1,-1
20221007  00:21:00,1756.95,1757.1,1756.3,1756.9,-1,-1
20221007  00:22:00,1756.9,1757.05,1756.55,1756.6,-1,-1
20221007  00:23:00,1756.6,1756.7,1756.25,1756.3,-1,-1
20221007  00:24:00,1756.3,1756.55,1756.0,1756.1,-1,-1
20221007  00:25:00,1756.1,1756.65,1756.1,1756.65,-1,-1
20221007  00:26:00,1756.65,1756.7,1756.25,1756.55,-1,-1
20221007  00:27:00,1756.55,1756.6,1756.1,1756.1,-1,-1
20221007  00:28:00,1756.1,1756.3,1755.9,1756.1,-1,-1
20221007  00:29:00,1756.1,1756.2,1755.9,1756.2,-1,-1
20221007  00:30:00,1756.2,1756.85,1756.1,1756.8,-1,-1
20221007  00:31:00,1756.8,1757.05,1756.75,1756.95,-1,-1
20221007  00:32:00,1756.95,1757.05,1756.85,1757.0,-1,-1
20221007  00:33:00,1757.0,1757.9,1756.95,1757.6,-1,-1
