date,open,high,low,close,volume,barCount
20230131  00:00:00,1896.9,1898.1,1896.9,1898.0,-1,-1
20230131  00:01:00,1898.0,1898.0,1897.25,1897.9,-1,-1
20230131  00:02:00,1897.9,1898.3,1897.85,1898.1,-1,-1
20230131  00:03:00,1898.1,1898.35,1897.8,1897.85,-1,-1
20230131  00:04:00,1897.85,1897.9,1897.6,1897.6,-1,-1
20230131  00:05:00,1897.6,1897.85,1897.55,1897.8,-1,-1
20230131  00:06:00,1897.8,1897.9,1897.65,1897.8,-1,-1
20230131  00:07:00,1897.8,1897.85,1897.8,1897.85,-1,-1
20230131  00:08:00,1897.85,1897.85,1897.05,1897.1,-1,-1
20230131  00:09:00,1897.1,1897.3,1896.65,1897.3,-1,-1
20230131  00:10:00,1897.3,1897.55,1897.05,1897.3,-1,-1
20230131  00:11:00,1897.3,1897.35,1896.9,1897.0,-1,-1
20230131  00:12:00,1897.0,1897.2,1897.0,1897.2,-1,-1
20230131  00:13:00,1897.2,1897.35,1897.15,1897.2,-1,-1
20230131  00:14:00,1897.2,1897.6,1897.2,1897.5,-1,-1
20230131  00:15:00,1897.5,1897.6,1897.3,1897.5,-1,-1
20230131  00:16:00,1897.5,1897.8,1897.4,1897.6,-1,-1
20230131  00:17:00,1897.6,1897.7,1897.35,1897.5,-1,-1
20230131  00:18:00,1897.5,1897.7,1897.4,1897.7,-1,-1
20230131  00:19:00,1897.7,1897.85,1897.5,1897.85,-1,-1
20230131  00:20:00,1897.85,1898.4,1897.85,1898.1,-1,-1
20230131  00:21:00,1898.1,1898.55,1898.05,1898.45,-1,-1
20230131  00:22:00,1898.45,1898.45,1898.35,1898.4,-1,-1
20230131  00:23:00,1898.4,1898.45,1898.35,1898.35,-1,-1
20230131  00:24:00,1898.35,1898.55,1898.35,1898.5,-1,-1
20230131  00:25:00,1898.5,1898.5,1898.05,1898.2,-1,-1
20230131  00:26:00,1898.2,1898.2,1897.95,1898.05,-1,-1
20230131  00:27:00,1898.05,1898.5,1898.05,1898.5,-1,-1
20230131  00:28:00,1898.5,1898.55,1898.3,1898.4,-1,-1
20230131  00:29:00,1898.4,1898.5,1898.3,1898.4,-1,-1
20230131  00:30:00,1898.4,1898.7,1898.4,1898.6,-1,-1
20230131  00:31:00,1898.6,1898.6,1898.15,1898.3,-1,-1
20230131  00:32:00,1898.3,1898.3,1898.2,1898.2,-1,-1
20230131  00:33:00,1898.2,1898.55,1898.0,1898.55,-1,-1
20230131  00:34:00,1898.55,1898.7,1898.5,1898.7,-1,-1
20230131  00:35:00,1898.7,1898.9,1898.6,1898.7,-1,-1
20230131  00:36:00,1898.7,1899.0,1898.7,1899.0,-1,-1
20230131  00:37:00,1899.0,1899.5,1898.95,1899.45,-1,-1
20230131  00:38:00,1899.45,1899.7,1899.45,1899.6,-1,-1
20230131  00:39:00,1899.6,1899.6,1899.45,1899.45,-1,-1
20230131  00:40:00,1899.45,1899.45,1899.4,1899.45,-1,-1
20230131  00:41:00,1899.45,1900.0,1899.35,1899.8,-1,-1
20230131  00:42:00,1899.8,1899.95,1899.75,1899.8,-1,-1
20230131  00:43:00,1899.8,1899.9,1899.65,1899.7,-1,-1
20230131  00:44:00,1899.7,1899.85,1899.6,1899.6,-1,-1
20230131  00:45:00,1899.6,1899.85,1899.55,1899.8,-1,-1
20230131  00:46:00,1899.8,1900.05,1899.75,1899.9,-1,-1
20230131  00:47:00,1899.9,1899.9,1899.55,1899.6,-1,-1
20230131  00:48:00,1899.6,1899.75,1899.4,1899.7,-1,-1
20230131  00:49:00,1899.7,1899.7,1899.1,1899.3,-1,-1
20230131  00:50:00,1899.3,1899.6,1899.2,1899.6,-1,-1
20230131  00:51:00,1899.6,1899.6,1899.5,1899.6,-1,-1
20230131  00:52:00,1899.6,1899.9,1899.55,1899.8,-1,-1
20230131  00:53:00,1899.8,1899.8,1899.65,1899.7,-1,-1
20230131  00:54:00,1899.7,1899.7,1899.5,1899.65,-1,-1
20230131  00:55:00,1899.65,1899.85,1899.6,1899.8,-1,-1
20230131  00:56:00,1899.8,1899.95,1899.8,1899.8,-1,-1
20230131  00:57:00,1899.8,1899.85,1899.75,1899.8,-1,-1
20230131  00:58:00,1899.8,1899.9,1899.7,1899.8,-1,-1
20230131  00:59:00,1899.8,1900.0,1899.75,1900.0,-1,-1
