date,open,high,low,close,volume,barCount
20230329  00:00:00,1767.45,1767.85,1767.35,1767.45,-1,-1
20230329  00:01:00,1767.45,1767.45,1766.9,1767.1,-1,-1
20230329  00:02:00,1767.1,1767.35,1767.05,1767.2,-1,-1
20230329  00:03:00,1767.2,1767.3,1767.05,1767.3,-1,-1
20230329  00:04:00,1767.3,1767.4,1767.2,1767.25,-1,-1
20230329  00:05:00,1767.25,1767.6,1767.2,1767.55,-1,-1
20230329  00:06:00,1767.55,1767.75,1767.55,1767.7,-1,-1
20230329  00:07:00,1767.7,1768.3,1767.7,1767.9,-1,-1
20230329  00:08:00,1767.9,1768.0,1767.85,1768.0,-1,-1
20230329  00:09:00,1768.0,1768.15,1768.0,1768.15,-1,-1
20230329  00:10:00,1768.15,1768.8,1768.15,1768.4,-1,-1
20230329  00:11:00,1768.4,1768.45,1767.85,1768.15,-1,-1
20230329  00:12:00,1768.15,1768.55,1768.1,1768.55,-1,-1
20230329  00:13:00,1768.55,1768.55,1768.1,1768.2,-1,-1
20230329  00:14:00,1768.2,1768.55,1768.2,1768.35,-1,-1
20230329  00:15:00,1768.35,1768.45,1768.15,1768.35,-1,-1
20230329  00:16:00,1768.35,1768.85,1768.3,1768.75,-1,-1
20230329  00:17:00,1768.75,1768.75,1768.65,1768.75,-1,-1
20230329  00:18:00,1768.75,1768.75,1768.25,1768.35,-1,-1
20230329  00:19:00,1768.35,1768.35,1768.25,1768.35,-1,-1
20230329  00:20:00,1768.35,1768.35,1768.15,1768.15,-1,-1
20230329  00:21:00,1768.15,1768.4,1768.15,1768.4,-1,-1
20230329  00:22:00,1768.4,1768.4,1768.4,1768.4,-1,-1
20230329  00:23:00,1768.4,1768.4,1768.35,1768.35,-1,-1
20230329  00:24:00,1768.35,1768.45,1768.35,1768.4,-1,-1
20230329  00:25:00,1768.4,1768.6,1768.4,1768.6,-1,-1
20230329  00:26:00,1768.6,1768.6,1768.5,1768.6,-1,-1
20230329  00:27:00,1768.6,1768.75,1768.6,1768.7,-1,-1
20230329  00:28:00,1768.7,1768.7,1768.55,1768.6,-1,-1
20230329  00:29:00,1768.6,1768.7,1768.45,1768.55,-1,-1
