date,open,high,low,close,volume,barCount
20221006  00:00:00,1769.05,1769.55,1768.6,1768.95,-1,-1
20221006  00:01:00,1768.95,1768.95,1767.7,1768.1,-1,-1
20221006  00:02:00,1768.1,1768.4,1767.55,1768.1,-1,-1
20221006  00:03:00,1768.1,1768.1,1767.35,1767.55,-1,-1
20221006  00:04:00,1767.55,1768.25,1767.55,1768.15,-1,-1
20221006  00:05:00,1768.15,1768.15,1767.7,1767.75,-1,-1
20221006  00:06:00,1767.75,1768.05,1767.6,1767.85,-1,-1
20221006  00:07:00,1767.85,1768.35,1767.85,1767.95,-1,-1
20221006  00:08:00,1767.95,1768.05,1767.7,1767.7,-1,-1
20221006  00:09:00,1767.7,1767.95,1767.6,1767.65,-1,-1
20221006  00:10:00,1767.65,1767.65,1767.25,1767.6,-1,-1
20221006  00:11:00,1767.6,1768.55,1767.5,1768.2,-1,-1
20221006  00:12:00,1768.2,1768.85,1768.2,1768.6,-1,-1
20221006  00:13:00,1768.6,1768.6,1768.35,1768.35,-1,-1
20221006  00:14:00,1768.35,1768.35,1767.9,1767.9,-1,-1
20221006  00:15:00,1767.9,1769.4,1767.9,1769.1,-1,-1
20221006  00:16:00,1769.1,1770.1,1769.1,1770.1,-1,-1
20221006  00:17:00,1770.1,1770.25,1769.65,1769.8,-1,-1
20221006  00:18:00,1769.8,1770.1,1769.7,1769.9,-1,-1
20221006  00:19:00,1769.9,1770.0,1769.65,1769.65,-1,-1
20221006  00:20:00,1769.65,1769.75,1769.0,1769.05,-1,-1
20221006  00:21:00,1769.05,1769.1,1768.8,1768.8,-1,-1
20221006  00:22:00,1768.8,1768.9,1768.6,1768.85,-1,-1
20221006  00:23:00,1768.85,1769.65,1768.65,1769.4,-1,-1
20221006  00:24:00,1769.4,1769.7,1769.3,1769.6,-1,-1
20221006  00:25:00,1769.6,1769.6,1768.65,1768.9,-1,-1
20221006  00:26:00,1768.9,1769.2,1768.7,1768.85,-1,-1
20221006  00:27:00,1768.85,1769.1,1768.7,1769.0,-1,-1
20221006  00:28:00,1769.0,1769.3,1768.95,1769.0,-1,-1
20221006  00:29:00,1769.0,1769.35,1769.0,1769.25,-1,-1
20221006  00:30:00,1769.25,1769.45,1769.05,1769.4,-1,-1
20221006  00:31:00,1769.4,1769.4,1768.85,1769.2,-1,-1
20221006  00:32:00,1769.2,1769.2,1768.5,1768.6,-1,-1
20221006  00:33:00,1768.6,1768.9,1768.5,1768.8,-1,-1
20221006  00:34:00,1768.8,1769.05,1768.8,1769.0,-1,-1
20221006  00:35:00,1769.0,1769.35,1768.95,1769.15,-1,-1
20221006  00:36:00,1769.15,1769.75,1769.0,1769.7,-1,-1
20221006  00:37:00,1769.7,1769.95,1769.5,1769.65,-1,-1
20221006  00:38:00,1769.65,1770.45,1769.4,1770.3,-1,-1
20221006  00:39:00,1770.3,1771.2,1770.3,1771.1,-1,-1
20221006  00:40:00,1771.1,1771.35,1770.65,1770.9,-1,-1
20221006  00:41:00,1770.9,1771.15,1770.9,1771.1,-1,-1
20221006  00:42:00,1771.1,1771.3,1771.0,1771.3,-1,-1
20221006  00:43:00,1771.3,1771.5,1771.0,1771.1,-1,-1
20221006  00:44:00,1771.1,1771.1,1770.7,1770.8,-1,-1
20221006  00:45:00,1770.8,1771.1,1770.8,1770.9,-1,-1
20221006  00:46:00,1770.9,1771.1,1770.8,1771.0,-1,-1
20221006  00:47:00,1771.0,1771.2,1770.75,1771.1,-1,-1
20221006  00:48:00,1771.1,1771.35,1771.0,1771.2,-1,-1
20221006  00:49:00,1771.2,1771.2,1770.95,1770.95,-1,-1
20221006  00:50:00,1770.95,1771.2,1770.7,1770.7,-1,-1
20221006  00:51:00,1770.7,1770.7,1770.45,1770.5,-1,-1
20221006  00:52:00,1770.5,1770.95,1770.3,1770.9,-1,-1
20221006  00:53:00,1770.9,1771.2,1770.9,1771.1,-1,-1
20221006  00:54:00,1771.1,1771.8,1771.0,1771.6,-1,-1
20221006  00:55:00,1771.6,1772.0,1771.55,1771.95,-1,-1
20221006  00:56:00,1771.95,1772.1,1771.55,1771.6,-1,-1
20221006  00:57:00,1771.6,1771.6,1771.3,1771.4,-1,-1
20221006  00:58:00,1771.4,1771.6,1771.3,1771.3,-1,-1
20221006  00:59:00,1771.3,1771.4,1771.05,1771.35,-1,-1
20221006  01:00:00,1771.35,1771.9,1771.1,1771.4,-1,-1
20221006  01:01:00,1771.4,1771.4,1771.05,1771.1,-1,-1
20221006  01:02:00,1771.1,1771.15,1770.55,1770.6,-1,-1
20221006  01:03:00,1770.6,1770.7,1770.4,1770.45,-1,-1
20221006  01:04:00,1770.45,1770.55,1770.4,1770.4,-1,-1
20221006  01:05:00,1770.4,1770.7,1770.2,1770.2,-1,-1
20221006  01:06:00,1770.2,1770.7,1769.95,1770.6,-1,-1
20221006  01:07:00,1770.6,1770.75,1770.35,1770.4,-1,-1
20221006  01:08:00,1770.4,1770.55,1770.25,1770.4,-1,-1
20221006  01:09:00,1770.4,1770.7,1770.4,1770.4,-1,-1
20221006  01:10:00,1770.4,1770.7,1770.35,1770.7,-1,-1
20221006  01:11:00,1770.7,1771.05,1770.6,1770.9,-1,-1
20221006  01:12:00,1770.9,1771.9,1770.9,1771.8,-1,-1
20221006  01:13:00,1771.8,1771.85,1771.4,1771.8,-1,-1
20221006  01:14:00,1771.8,1771.9,1771.5,1771.5,-1,-1
20221006  01:15:00,1771.5,1771.8,1771.3,1771.8,-1,-1
20221006  01:16:00,1771.8,1772.75,1771.8,1772.6,-1,-1
20221006  01:17:00,1772.6,1772.95,1772.25,1772.3,-1,-1
20221006  01:18:00,1772.3,1772.4,1772.1,1772.4,-1,-1
20221006  01:19:00,1772.4,1772.4,1772.0,1772.25,-1,-1
20221006  01:20:00,1772.25,1772.8,1772.1,1772.55,-1,-1
20221006  01:21:00,1772.55,1772.6,1772.4,1772.6,-1,-1
20221006  01:22:00,1772.6,1772.9,1772.35,1772.8,-1,-1
20221006  01:23:00,1772.8,1773.05,1772.6,1772.6,-1,-1
20221006  01:24:00,1772.6,1773.05,1772.5,1773.0,-1,-1
20221006  01:25:00,1773.0,1773.0,1772.7,1772.9,-1,-1
20221006  01:26:00,1772.9,1773.1,1772.7,1772.85,-1,-1
20221006  01:27:00,1772.85,1772.9,1772.5,1772.6,-1,-1
20221006  01:28:00,1772.6,1772.7,1772.2,1772.4,-1,-1
20221006  01:29:00,1772.4,1772.6,1772.1,1772.5,-1,-1
20221006  01:30:00,1772.5,1772.5,1772.15,1772.3,-1,-1
20221006  01:31:00,1772.3,1772.5,1772.2,1772.4,-1,-1
20221006  01:32:00,1772.4,1772.4,1772.0,1772.1,-1,-1
