date,open,high,low,close,volume,barCount
20230307  00:00:00,4053.75,4053.75,4051.125,4051.625,-1,-1
20230307  00:05:00,4051.625,4052.875,4051.625,4052.875,-1,-1
20230307  00:10:00,4052.875,4053.125,4052.125,4052.375,-1,-1
20230307  00:15:00,4052.375,4054.375,4052.375,4053.75,-1,-1
20230307  00:20:00,4053.75,4054.375,4053.375,4053.875,-1,-1
20230307  00:25:00,4053.875,4054.875,4053.375,4054.625,-1,-1
20230307  00:30:00,4054.625,4054.875,4053.625,4054.125,-1,-1
20230307  00:35:00,4054.125,4054.125,4053.125,4053.375,-1,-1
20230307  00:40:00,4053.375,4053.875,4052.375,4053.375,-1,-1
20230307  00:45:00,4053.375,4054.125,4053.375,4054.0,-1,-1
20230307  00:50:00,4054.0,4054.875,4053.125,4054.625,-1,-1
20230307  00:55:00,4054.625,4055.625,4054.625,4054.625,-1,-1
