date,open,high,low,close,volume,barCount
20230307  00:00:00,4090.75,4090.875,4088.375,4088.625,-1,-1
20230307  00:05:00,4088.625,4090.0,4088.625,4090.0,-1,-1
20230307  00:10:00,4090.0,4090.25,4089.25,4089.5,-1,-1
20230307  00:15:00,4089.5,4091.5,4089.5,4091.0,-1,-1
20230307  00:20:00,4091.0,4091.5,4090.5,4091.0,-1,-1
20230307  00:25:00,4091.0,4092.0,4090.5,4091.875,-1,-1
20230307  00:30:00,4091.875,4092.0,4090.75,4091.25,-1,-1
20230307  00:35:00,4091.25,4091.25,4090.25,4090.5,-1,-1
20230307  00:40:00,4090.5,4091.25,4089.5,4090.5,-1,-1
20230307  00:45:00,4090.5,4091.25,4090.5,4091.25,-1,-1
20230307  00:50:00,4091.25,4092.125,4090.25,4091.75,-1,-1
20230307  00:55:00,4091.75,4092.75,4091.75,4091.875,-1,-1
