date,open,high,low,close,volume,barCount
20221209  00:00:00,71.92,71.96,71.92,71.96,5,5
20221209  00:00:05,71.96,72.0,71.96,71.98,11,9
20221209  00:00:10,72.0,72.01,72.0,72.01,12,5
20221209  00:00:15,72.02,72.04,72.02,72.04,3,3
20221209  00:00:20,72.04,72.04,72.03,72.03,2,2
20221209  00:00:25,72.05,72.06,72.05,72.06,2,2
20221209  00:00:30,72.06,72.06,72.05,72.06,3,3
20221209  00:00:35,72.06,72.06,72.06,72.06,1,1
20221209  00:00:40,72.08,72.08,72.08,72.08,1,1
20221209  00:00:45,72.08,72.08,72.08,72.08,1,1
20221209  00:00:50,72.08,72.08,72.08,72.08,3,2
20221209  00:00:55,72.08,72.08,72.08,72.08,0,0
20221209  00:01:00,72.1,72.11,72.08,72.11,6,6
20221209  00:01:05,72.11,72.11,72.11,72.11,1,1
20221209  00:01:10,72.11,72.11,72.11,72.11,0,0
20221209  00:01:15,72.13,72.15,72.13,72.15,2,2
20221209  00:01:20,72.17,72.17,72.17,72.17,1,1
20221209  00:01:25,72.15,72.15,72.15,72.15,2,2
20221209  00:01:30,72.15,72.15,72.15,72.15,0,0
20221209  00:01:35,72.15,72.15,72.15,72.15,0,0
20221209  00:01:40,72.15,72.15,72.15,72.15,0,0
20221209  00:01:45,72.16,72.16,72.16,72.16,1,1
20221209  00:01:50,72.16,72.16,72.16,72.16,0,0
20221209  00:01:55,72.14,72.14,72.14,72.14,2,2
20221209  00:02:00,72.14,72.14,72.14,72.14,0,0
20221209  00:02:05,72.14,72.14,72.14,72.14,0,0
20221209  00:02:10,72.12,72.12,72.12,72.12,5,3
20221209  00:02:15,72.12,72.12,72.12,72.12,0,0
20221209  00:02:20,72.11,72.11,72.11,72.11,2,1
20221209  00:02:25,72.11,72.11,72.11,72.11,0,0
20221209  00:02:30,72.11,72.11,72.11,72.11,0,0
20221209  00:02:35,72.11,72.11,72.11,72.11,1,1
20221209  00:02:40,72.13,72.14,72.13,72.14,3,2
20221209  00:02:45,72.14,72.14,72.14,72.14,0,0
20221209  00:02:50,72.14,72.14,72.14,72.14,0,0
20221209  00:02:55,72.14,72.14,72.14,72.14,0,0
20221209  00:03:00,72.14,72.14,72.14,72.14,0,0
20221209  00:03:05,72.14,72.14,72.14,72.14,0,0
20221209  00:03:10,72.14,72.14,72.14,72.14,0,0
20221209  00:03:15,72.14,72.14,72.14,72.14,0,0
20221209  00:03:20,72.14,72.14,72.14,72.14,0,0
20221209  00:03:25,72.14,72.14,72.14,72.14,0,0
20221209  00:03:30,72.15,72.15,72.15,72.15,2,1
20221209  00:03:35,72.15,72.15,72.15,72.15,0,0
20221209  00:03:40,72.12,72.12,72.12,72.12,1,1
20221209  00:03:45,72.12,72.12,72.12,72.12,0,0
20221209  00:03:50,72.12,72.12,72.12,72.12,0,0
20221209  00:03:55,72.12,72.12,72.12,72.12,0,0
20221209  00:04:00,72.14,72.14,72.14,72.14,2,1
20221209  00:04:05,72.14,72.14,72.14,72.14,0,0
20221209  00:04:10,72.18,72.18,72.18,72.18,1,1
20221209  00:04:15,72.18,72.18,72.18,72.18,0,0
20221209  00:04:20,72.18,72.18,72.18,72.18,0,0
20221209  00:04:25,72.17,72.18,72.17,72.18,5,2
20221209  00:04:30,72.18,72.18,72.18,72.18,0,0
20221209  00:04:35,72.17,72.17,72.17,72.17,1,1
20221209  00:04:40,72.17,72.17,72.17,72.17,0,0
20221209  00:04:45,72.17,72.17,72.17,72.17,0,0
20221209  00:04:50,72.17,72.17,72.17,72.17,0,0
20221209  00:04:55,72.17,72.17,72.17,72.17,0,0
20221209  00:05:00,72.17,72.17,72.17,72.17,0,0
