date,open,high,low,close,volume,barCount
20230124  00:00:10,81.94,81.94,81.94,81.94,2,2
20230124  00:00:15,81.94,81.94,81.94,81.94,0,0
20230124  00:00:20,81.94,81.94,81.94,81.94,2,2
20230124  00:00:25,81.94,81.94,81.94,81.94,0,0
20230124  00:00:30,81.94,81.94,81.94,81.94,0,0
20230124  00:00:35,81.94,81.94,81.94,81.94,0,0
20230124  00:00:40,81.94,81.94,81.94,81.94,0,0
20230124  00:00:45,81.94,81.94,81.94,81.94,0,0
20230124  00:00:50,81.94,81.94,81.94,81.94,0,0
20230124  00:00:55,81.94,81.94,81.94,81.94,0,0
20230124  00:01:00,81.94,81.94,81.94,81.94,0,0
20230124  00:01:05,81.94,81.94,81.94,81.94,0,0
20230124  00:01:10,81.94,81.94,81.94,81.94,0,0
20230124  00:01:15,81.94,81.94,81.94,81.94,0,0
20230124  00:01:20,81.94,81.94,81.94,81.94,0,0
20230124  00:01:25,81.94,81.94,81.94,81.94,0,0
20230124  00:01:30,81.94,81.94,81.94,81.94,0,0
20230124  00:01:35,81.94,81.94,81.94,81.94,0,0
20230124  00:01:40,81.94,81.94,81.94,81.94,0,0
20230124  00:01:45,81.94,81.94,81.94,81.94,0,0
20230124  00:01:50,81.94,81.94,81.94,81.94,0,0
20230124  00:01:55,81.94,81.94,81.94,81.94,0,0
20230124  00:02:00,81.94,81.94,81.94,81.94,0,0
20230124  00:02:05,81.94,81.94,81.94,81.94,0,0
20230124  00:02:10,81.94,81.94,81.94,81.94,0,0
20230124  00:02:15,81.94,81.94,81.94,81.94,0,0
20230124  00:02:20,81.94,81.94,81.94,81.94,0,0
20230124  00:02:25,81.96,81.96,81.96,81.96,3,1
20230124  00:02:30,81.96,81.96,81.96,81.96,0,0
20230124  00:02:35,81.96,81.96,81.96,81.96,0,0
20230124  00:02:40,81.96,81.96,81.96,81.96,0,0
20230124  00:02:45,81.96,81.96,81.96,81.96,0,0
20230124  00:02:50,81.94,81.94,81.94,81.94,1,1
20230124  00:02:55,81.94,81.94,81.94,81.94,0,0
20230124  00:03:00,81.94,81.94,81.94,81.94,0,0
20230124  00:03:05,81.94,81.94,81.94,81.94,0,0
20230124  00:03:10,81.93,81.93,81.93,81.93,1,1
20230124  00:03:15,81.93,81.93,81.93,81.93,0,0
20230124  00:03:20,81.93,81.93,81.93,81.93,0,0
20230124  00:03:25,81.93,81.93,81.93,81.93,0,0
20230124  00:03:30,81.93,81.93,81.93,81.93,0,0
20230124  00:03:35,81.93,81.93,81.93,81.93,0,0
20230124  00:03:40,81.93,81.93,81.93,81.93,0,0
20230124  00:03:45,81.93,81.93,81.93,81.93,0,0
20230124  00:03:50,81.93,81.93,81.93,81.93,0,0
20230124  00:03:55,81.97,81.97,81.97,81.97,6,4
20230124  00:04:00,81.95,81.95,81.95,81.95,1,1
20230124  00:04:05,81.95,81.95,81.95,81.95,0,0
20230124  00:04:10,81.95,81.95,81.95,81.95,0,0
20230124  00:04:15,81.95,81.95,81.95,81.95,0,0
20230124  00:04:20,81.95,81.95,81.95,81.95,0,0
20230124  00:04:25,81.95,81.95,81.95,81.95,0,0
20230124  00:04:30,81.95,81.95,81.95,81.95,0,0
20230124  00:04:35,81.95,81.95,81.95,81.95,0,0
20230124  00:04:40,81.95,81.95,81.95,81.95,0,0
20230124  00:04:45,81.95,81.95,81.95,81.95,0,0
20230124  00:04:50,81.95,81.95,81.95,81.95,0,0
20230124  00:04:55,81.95,81.95,81.95,81.95,0,0
20230124  00:05:00,81.95,81.95,81.95,81.95,0,0
20230124  00:05:05,81.95,81.95,81.95,81.95,0,0
20230124  00:05:10,81.95,81.95,81.95,81.95,0,0
20230124  00:05:15,81.95,81.95,81.95,81.95,0,0
20230124  00:05:20,81.95,81.95,81.95,81.95,0,0
20230124  00:05:25,81.98,81.98,81.98,81.98,1,1
20230124  00:05:30,81.98,81.98,81.98,81.98,0,0
20230124  00:05:35,81.98,81.98,81.98,81.98,0,0
20230124  00:05:40,81.98,81.98,81.98,81.98,0,0
20230124  00:05:45,81.98,81.98,81.98,81.98,0,0
20230124  00:05:50,81.98,81.98,81.98,81.98,0,0
20230124  00:05:55,81.98,81.98,81.98,81.98,0,0
20230124  00:06:00,81.98,81.98,81.98,81.98,0,0
20230124  00:06:05,81.98,81.98,81.98,81.98,0,0
20230124  00:06:10,81.98,81.98,81.98,81.98,0,0
20230124  00:06:15,81.98,81.98,81.98,81.98,0,0
20230124  00:06:20,81.98,81.98,81.98,81.98,0,0
20230124  00:06:25,81.98,81.98,81.98,81.98,0,0
20230124  00:06:30,81.98,81.98,81.98,81.98,0,0
20230124  00:06:35,81.98,81.98,81.98,81.98,0,0
20230124  00:06:40,82.01,82.01,82.01,82.01,1,1
20230124  00:06:45,82.01,82.01,82.01,82.01,0,0
20230124  00:06:50,82.01,82.01,82.01,82.01,0,0
20230124  00:06:55,82.01,82.01,82.01,82.01,0,0
20230124  00:07:00,81.98,81.98,81.98,81.98,1,1
20230124  00:07:05,81.98,81.98,81.98,81.98,0,0
20230124  00:07:10,81.98,81.98,81.98,81.98,0,0
20230124  00:07:15,81.98,81.98,81.98,81.98,0,0
20230124  00:07:20,81.98,81.98,81.98,81.98,0,0
20230124  00:07:25,81.94,81.94,81.94,81.94,1,1
20230124  00:07:30,81.94,81.94,81.94,81.94,0,0
20230124  00:07:35,81.94,81.94,81.94,81.94,0,0
20230124  00:07:40,81.94,81.94,81.94,81.94,0,0
20230124  00:07:45,81.94,81.94,81.94,81.94,0,0
20230124  00:07:50,81.94,81.94,81.94,81.94,0,0
20230124  00:07:55,81.94,81.94,81.94,81.94,0,0
20230124  00:08:00,81.94,81.94,81.94,81.94,0,0
20230124  00:08:05,81.94,81.94,81.94,81.94,0,0
20230124  00:08:10,81.94,81.94,81.94,81.94,0,0
20230124  00:08:15,81.94,81.94,81.94,81.94,0,0
20230124  00:08:20,81.94,81.94,81.94,81.94,0,0
20230124  00:08:25,81.94,81.94,81.94,81.94,0,0
20230124  00:08:30,81.9,81.9,81.9,81.9,1,1
20230124  00:08:35,81.89,81.89,81.88,81.88,4,2
20230124  00:08:40,81.88,81.88,81.88,81.88,0,0
20230124  00:08:45,81.88,81.88,81.88,81.88,0,0
20230124  00:08:50,81.88,81.88,81.88,81.88,0,0
20230124  00:08:55,81.88,81.88,81.88,81.88,0,0
20230124  00:09:00,81.91,81.91,81.91,81.91,1,1
20230124  00:09:05,81.91,81.91,81.91,81.91,0,0
20230124  00:09:10,81.91,81.91,81.91,81.91,0,0
20230124  00:09:15,81.91,81.91,81.91,81.91,0,0
20230124  00:09:20,81.91,81.91,81.91,81.91,0,0
20230124  00:09:25,81.91,81.91,81.91,81.91,0,0
20230124  00:09:30,81.91,81.91,81.91,81.91,0,0
20230124  00:09:35,81.91,81.91,81.91,81.91,0,0
20230124  00:09:40,81.91,81.91,81.91,81.91,0,0
20230124  00:09:45,81.91,81.91,81.91,81.91,0,0
20230124  00:09:50,81.91,81.91,81.91,81.91,0,0
20230124  00:09:55,81.91,81.91,81.91,81.91,0,0
20230124  00:10:00,81.91,81.91,81.91,81.91,0,0
20230124  00:10:05,81.91,81.91,81.91,81.91,0,0
20230124  00:10:10,81.91,81.91,81.91,81.91,0,0
20230124  00:10:15,81.91,81.91,81.91,81.91,0,0
20230124  00:10:20,81.91,81.91,81.91,81.91,0,0
20230124  00:10:25,81.91,81.91,81.91,81.91,0,0
20230124  00:10:30,81.91,81.91,81.91,81.91,0,0
20230124  00:10:35,81.91,81.91,81.91,81.91,0,0
20230124  00:10:40,81.91,81.91,81.91,81.91,0,0
20230124  00:10:45,81.91,81.91,81.91,81.91,0,0
20230124  00:10:50,81.91,81.91,81.91,81.91,0,0
20230124  00:10:55,81.91,81.91,81.91,81.91,0,0
20230124  00:11:00,81.91,81.91,81.91,81.91,0,0
20230124  00:11:05,81.91,81.91,81.91,81.91,0,0
20230124  00:11:10,81.91,81.91,81.91,81.91,0,0
20230124  00:11:15,81.91,81.91,81.91,81.91,0,0
20230124  00:11:20,81.91,81.91,81.91,81.91,0,0
20230124  00:11:25,81.91,81.91,81.91,81.91,0,0
20230124  00:11:30,81.91,81.91,81.91,81.91,0,0
20230124  00:11:35,81.91,81.91,81.91,81.91,0,0
20230124  00:11:40,81.91,81.91,81.91,81.91,0,0
20230124  00:11:45,81.91,81.91,81.91,81.91,0,0
20230124  00:11:50,81.91,81.91,81.91,81.91,0,0
20230124  00:11:55,81.91,81.91,81.91,81.91,0,0
20230124  00:12:00,81.91,81.91,81.91,81.91,0,0
20230124  00:12:05,81.91,81.91,81.91,81.91,0,0
20230124  00:12:10,81.91,81.91,81.91,81.91,0,0
20230124  00:12:15,81.91,81.91,81.91,81.91,0,0
20230124  00:12:20,81.91,81.91,81.91,81.91,0,0
20230124  00:12:25,81.91,81.91,81.91,81.91,0,0
20230124  00:12:30,81.91,81.91,81.91,81.91,0,0
20230124  00:12:35,81.91,81.91,81.91,81.91,0,0
20230124  00:12:40,81.91,81.91,81.91,81.91,0,0
20230124  00:12:45,81.91,81.91,81.91,81.91,0,0
20230124  00:12:50,81.91,81.91,81.91,81.91,0,0
20230124  00:12:55,81.91,81.91,81.91,81.91,0,0
20230124  00:13:00,81.91,81.91,81.91,81.91,0,0
20230124  00:13:05,81.91,81.91,81.91,81.91,0,0
20230124  00:13:10,81.91,81.91,81.91,81.91,0,0
20230124  00:13:15,81.91,81.91,81.91,81.91,0,0
20230124  00:13:20,81.91,81.91,81.91,81.91,0,0
20230124  00:13:25,81.91,81.91,81.91,81.91,0,0
20230124  00:13:30,81.91,81.91,81.91,81.91,0,0
20230124  00:13:35,81.91,81.91,81.91,81.91,0,0
20230124  00:13:40,81.91,81.91,81.91,81.91,0,0
20230124  00:13:45,81.91,81.91,81.91,81.91,0,0
20230124  00:13:50,81.91,81.91,81.91,81.91,0,0
20230124  00:13:55,81.91,81.91,81.91,81.91,0,0
20230124  00:14:00,81.91,81.91,81.91,81.91,0,0
20230124  00:14:05,81.91,81.91,81.91,81.91,0,0
20230124  00:14:10,81.91,81.91,81.91,81.91,0,0
20230124  00:14:15,81.91,81.91,81.91,81.91,0,0
20230124  00:14:20,81.91,81.91,81.91,81.91,0,0
20230124  00:14:25,81.91,81.91,81.91,81.91,0,0
20230124  00:14:30,81.91,81.91,81.91,81.91,0,0
20230124  00:14:35,81.91,81.91,81.91,81.91,0,0
20230124  00:14:40,81.91,81.91,81.91,81.91,0,0
20230124  00:14:45,81.91,81.91,81.91,81.91,0,0
20230124  00:14:50,81.91,81.91,81.91,81.91,0,0
20230124  00:14:55,81.91,81.91,81.91,81.91,0,0
20230124  00:15:00,81.91,81.91,81.91,81.91,0,0
20230124  00:15:05,81.91,81.91,81.91,81.91,0,0
20230124  00:15:10,81.91,81.91,81.91,81.91,0,0
20230124  00:15:15,81.91,81.91,81.91,81.91,0,0
20230124  00:15:20,81.91,81.91,81.91,81.91,0,0
20230124  00:15:25,81.91,81.91,81.91,81.91,0,0
20230124  00:15:30,81.87,81.87,81.87,81.87,1,1
20230124  00:15:35,81.87,81.87,81.87,81.87,0,0
20230124  00:15:40,81.87,81.87,81.87,81.87,0,0
20230124  00:15:45,81.87,81.87,81.87,81.87,0,0
20230124  00:15:50,81.87,81.87,81.87,81.87,0,0
20230124  00:15:55,81.87,81.87,81.87,81.87,0,0
20230124  00:16:00,81.87,81.87,81.87,81.87,0,0
20230124  00:16:05,81.87,81.87,81.87,81.87,0,0
20230124  00:16:10,81.87,81.87,81.87,81.87,0,0
20230124  00:16:15,81.87,81.87,81.87,81.87,0,0
20230124  00:16:20,81.87,81.87,81.87,81.87,0,0
20230124  00:16:25,81.87,81.87,81.87,81.87,0,0
20230124  00:16:30,81.87,81.87,81.87,81.87,0,0
20230124  00:16:35,81.87,81.87,81.87,81.87,0,0
20230124  00:16:40,81.87,81.87,81.87,81.87,0,0
20230124  00:16:45,81.87,81.87,81.87,81.87,0,0
20230124  00:16:50,81.87,81.87,81.87,81.87,0,0
20230124  00:16:55,81.87,81.87,81.87,81.87,0,0
20230124  00:17:00,81.87,81.87,81.87,81.87,0,0
20230124  00:17:05,81.87,81.87,81.87,81.87,0,0
20230124  00:17:10,81.87,81.87,81.87,81.87,0,0
20230124  00:17:15,81.87,81.87,81.87,81.87,0,0
20230124  00:17:20,81.87,81.87,81.87,81.87,0,0
20230124  00:17:25,81.87,81.87,81.87,81.87,0,0
20230124  00:17:30,81.87,81.87,81.87,81.87,0,0
20230124  00:17:35,81.87,81.87,81.87,81.87,0,0
20230124  00:17:40,81.87,81.87,81.87,81.87,0,0
20230124  00:17:45,81.87,81.87,81.87,81.87,0,0
20230124  00:17:50,81.87,81.87,81.87,81.87,0,0
20230124  00:17:55,81.87,81.87,81.87,81.87,0,0
20230124  00:18:00,81.87,81.87,81.87,81.87,0,0
20230124  00:18:05,81.87,81.87,81.87,81.87,0,0
20230124  00:18:10,81.87,81.87,81.87,81.87,0,0
