date,open,high,low,close,volume,barCount
20230103  00:00:00,3895.5,3899.875,3892.875,3892.875,-1,-1
20230103  00:00:05,3892.875,3893.0,3890.125,3890.25,-1,-1
20230103  00:00:10,3890.25,3890.375,3888.75,3888.875,-1,-1
20230103  00:00:15,3888.875,3889.75,3888.875,3889.25,-1,-1
20230103  00:00:20,3889.25,3889.875,3888.125,3888.625,-1,-1
20230103  00:00:25,3888.625,3888.625,3887.0,3887.625,-1,-1
20230103  00:00:30,3887.625,3888.125,3886.625,3886.75,-1,-1
20230103  00:00:35,3886.75,3887.875,3886.75,3887.625,-1,-1
20230103  00:00:40,3887.625,3887.75,3887.125,3887.5,-1,-1
20230103  00:00:45,3887.5,3887.875,3886.875,3887.875,-1,-1
20230103  00:00:50,3887.875,3888.0,3887.25,3887.875,-1,-1
20230103  00:00:55,3887.875,3888.875,3887.5,3888.75,-1,-1
20230103  00:01:00,3888.75,3890.125,3888.75,3889.875,-1,-1
20230103  00:01:05,3889.875,3890.125,3889.5,3890.125,-1,-1
20230103  00:01:10,3890.125,3890.125,3888.875,3889.25,-1,-1
20230103  00:01:15,3889.25,3889.375,3888.875,3889.125,-1,-1
20230103  00:01:20,3889.125,3889.875,3889.125,3889.375,-1,-1
20230103  00:01:25,3889.375,3889.625,3888.125,3888.125,-1,-1
20230103  00:01:30,3888.125,3889.125,3888.125,3888.875,-1,-1
20230103  00:01:35,3888.875,3889.125,3888.375,3888.875,-1,-1
20230103  00:01:40,3888.875,3889.0,3888.375,3888.875,-1,-1
20230103  00:01:45,3888.875,3889.125,3888.375,3888.625,-1,-1
20230103  00:01:50,3888.625,3888.875,3888.375,3888.625,-1,-1
20230103  00:01:55,3888.625,3888.75,3888.125,3888.75,-1,-1
20230103  00:02:00,3888.75,3889.125,3888.375,3889.125,-1,-1
20230103  00:02:05,3889.125,3889.625,3889.125,3889.625,-1,-1
20230103  00:02:10,3889.625,3889.625,3888.375,3888.375,-1,-1
20230103  00:02:15,3888.375,3888.5,3888.125,3888.375,-1,-1
20230103  00:02:20,3888.375,3888.375,3888.125,3888.375,-1,-1
