date,open,high,low,close,volume,barCount
20230126  00:00:00,4.2645,4.265,4.262,4.264,11,10
20230126  00:00:05,4.264,4.264,4.264,4.264,10,4
20230126  00:00:10,4.263,4.263,4.2625,4.2625,11,5
20230126  00:00:15,4.262,4.262,4.262,4.262,2,1
20230126  00:00:20,4.262,4.262,4.262,4.262,0,0
20230126  00:00:25,4.2625,4.2625,4.2625,4.2625,1,1
20230126  00:00:30,4.2625,4.2625,4.2625,4.2625,0,0
20230126  00:00:35,4.2625,4.2625,4.2625,4.2625,0,0
20230126  00:00:40,4.2625,4.2625,4.2625,4.2625,0,0
20230126  00:00:45,4.262,4.262,4.262,4.262,1,1
20230126  00:00:50,4.2615,4.2615,4.2615,4.2615,1,1
20230126  00:00:55,4.2615,4.2615,4.2615,4.2615,2,2
20230126  00:01:00,4.2615,4.2615,4.2615,4.2615,1,1
20230126  00:01:05,4.261,4.261,4.2605,4.2605,5,2
20230126  00:01:10,4.26,4.261,4.2595,4.261,18,5
20230126  00:01:15,4.261,4.261,4.261,4.261,0,0
20230126  00:01:20,4.261,4.261,4.261,4.261,0,0
20230126  00:01:25,4.261,4.261,4.261,4.261,0,0
20230126  00:01:30,4.261,4.261,4.261,4.261,0,0
20230126  00:01:35,4.26,4.26,4.2595,4.2595,3,3
20230126  00:01:40,4.2605,4.2605,4.2605,4.2605,1,1
20230126  00:01:45,4.26,4.26,4.26,4.26,2,2
20230126  00:01:50,4.26,4.26,4.26,4.26,0,0
20230126  00:01:55,4.26,4.26,4.26,4.26,0,0
20230126  00:02:00,4.26,4.26,4.26,4.26,0,0
20230126  00:02:05,4.26,4.26,4.26,4.26,0,0
20230126  00:02:10,4.26,4.26,4.26,4.26,0,0
20230126  00:02:15,4.26,4.26,4.26,4.26,2,2
20230126  00:02:20,4.26,4.26,4.26,4.26,0,0
20230126  00:02:25,4.26,4.26,4.26,4.26,0,0
20230126  00:02:30,4.2595,4.2595,4.2595,4.2595,2,1
20230126  00:02:35,4.2595,4.2595,4.2595,4.2595,1,1
20230126  00:02:40,4.2595,4.2595,4.2595,4.2595,0,0
20230126  00:02:45,4.2595,4.2595,4.2595,4.2595,0,0
20230126  00:02:50,4.2595,4.2595,4.2595,4.2595,0,0
20230126  00:02:55,4.2595,4.2595,4.2595,4.2595,0,0
20230126  00:03:00,4.2595,4.2595,4.2595,4.2595,0,0
20230126  00:03:05,4.2595,4.2595,4.2595,4.2595,0,0
