date,open,high,low,close,volume,barCount
20230215  00:00:00,12620.75,12623.75,12615.875,12620.625,-1,-1
20230215  00:00:05,12620.625,12620.875,12617.0,12619.375,-1,-1
20230215  00:00:10,12619.375,12619.375,12615.125,12615.125,-1,-1
20230215  00:00:15,12615.125,12615.125,12614.875,12614.875,-1,-1
20230215  00:00:20,12614.875,12617.125,12614.875,12616.875,-1,-1
20230215  00:00:25,12616.875,12617.25,12616.375,12616.625,-1,-1
20230215  00:00:30,12616.625,12616.625,12615.0,12616.625,-1,-1
20230215  00:00:35,12616.625,12616.625,12615.125,12615.75,-1,-1
20230215  00:00:40,12615.75,12615.75,12615.25,12615.375,-1,-1
20230215  00:00:45,12615.375,12615.875,12614.375,12614.5,-1,-1
20230215  00:00:50,12614.5,12614.625,12613.625,12613.625,-1,-1
20230215  00:00:55,12613.625,12615.0,12613.375,12614.375,-1,-1
20230215  00:01:00,12614.375,12615.5,12614.375,12615.25,-1,-1
20230215  00:01:05,12615.25,12615.25,12613.75,12613.875,-1,-1
20230215  00:01:10,12613.875,12614.125,12613.5,12614.125,-1,-1
20230215  00:01:15,12614.125,12614.75,12614.125,12614.5,-1,-1
20230215  00:01:20,12614.5,12614.5,12612.875,12613.0,-1,-1
20230215  00:01:25,12613.0,12613.25,12610.25,12610.375,-1,-1
20230215  00:01:30,12610.375,12610.625,12609.875,12610.625,-1,-1
20230215  00:01:35,12610.625,12611.125,12610.625,12611.125,-1,-1
20230215  00:01:40,12611.125,12612.0,12611.125,12612.0,-1,-1
20230215  00:01:45,12612.0,12612.5,12611.875,12612.25,-1,-1
20230215  00:01:50,12612.25,12612.875,12612.25,12612.375,-1,-1
20230215  00:01:55,12612.375,12612.625,12610.75,12611.0,-1,-1
20230215  00:02:00,12611.0,12611.875,12611.0,12611.375,-1,-1
20230215  00:02:05,12611.375,12611.5,12611.375,12611.375,-1,-1
20230215  00:02:10,12611.375,12611.625,12611.25,12611.625,-1,-1
20230215  00:02:15,12611.625,12612.375,12611.375,12612.375,-1,-1
20230215  00:02:20,12612.375,12612.375,12612.375,12612.375,-1,-1
20230215  00:02:25,12612.375,12613.375,12612.375,12612.5,-1,-1
