date,open,high,low,close,volume,barCount
20230312  23:00:00,11896.0,11917.625,11894.5,11905.75,-1,-1
20230312  23:00:05,11905.75,11916.375,11899.75,11907.0,-1,-1
20230312  23:00:10,11907.0,11910.25,11901.625,11906.875,-1,-1
20230312  23:00:15,11906.875,11907.5,11897.75,11897.75,-1,-1
20230312  23:00:20,11897.75,11898.625,11889.625,11896.125,-1,-1
20230312  23:00:25,11896.125,11896.75,11883.75,11885.75,-1,-1
20230312  23:00:30,11885.75,11892.375,11884.125,11892.25,-1,-1
20230312  23:00:35,11892.25,11896.125,11887.25,11892.875,-1,-1
20230312  23:00:40,11892.875,11895.875,11891.875,11894.25,-1,-1
20230312  23:00:45,11894.25,11894.25,11886.875,11887.875,-1,-1
20230312  23:00:50,11887.875,11889.5,11887.875,11889.5,-1,-1
20230312  23:00:55,11889.5,11889.75,11886.625,11888.5,-1,-1
20230312  23:01:00,11888.5,11889.125,11880.375,11880.625,-1,-1
20230312  23:01:05,11880.625,11880.875,11876.625,11880.125,-1,-1
20230312  23:01:10,11880.125,11881.0,11876.125,11876.25,-1,-1
20230312  23:01:15,11876.25,11878.75,11876.25,11878.375,-1,-1
20230312  23:01:20,11878.375,11878.75,11875.75,11876.125,-1,-1
20230312  23:01:25,11876.125,11877.625,11875.125,11876.0,-1,-1
20230312  23:01:30,11876.0,11877.875,11868.875,11869.125,-1,-1
20230312  23:01:35,11869.125,11870.5,11863.5,11863.75,-1,-1
20230312  23:01:40,11863.75,11865.125,11858.25,11858.25,-1,-1
20230312  23:01:45,11858.25,11859.125,11852.75,11852.75,-1,-1
20230312  23:01:50,11852.75,11867.625,11852.75,11862.125,-1,-1
20230312  23:01:55,11862.125,11865.0,11857.25,11859.25,-1,-1
20230312  23:02:00,11859.25,11862.375,11857.75,11861.0,-1,-1
20230312  23:02:05,11861.0,11862.5,11860.5,11862.25,-1,-1
20230312  23:02:10,11862.25,11863.25,11856.625,11858.625,-1,-1
20230312  23:02:15,11858.625,11859.75,11857.375,11857.625,-1,-1
20230312  23:02:20,11857.625,11861.625,11856.625,11860.375,-1,-1
20230312  23:02:25,11860.375,11867.0,11860.375,11866.625,-1,-1
