date,open,high,low,close,volume,barCount
20230206  00:00:00,1987.2,1987.75,1986.6,1987.1,-1,-1
20230206  00:00:05,1987.1,1987.15,1986.6,1986.65,-1,-1
20230206  00:00:10,1986.65,1987.5,1986.65,1987.5,-1,-1
20230206  00:00:15,1987.5,1987.5,1987.4,1987.4,-1,-1
20230206  00:00:20,1987.4,1987.7,1987.4,1987.7,-1,-1
20230206  00:00:25,1987.7,1988.35,1987.65,1988.15,-1,-1
20230206  00:00:30,1988.15,1988.2,1988.05,1988.1,-1,-1
20230206  00:00:35,1988.1,1988.25,1988.1,1988.2,-1,-1
20230206  00:00:40,1988.2,1988.2,1987.6,1987.6,-1,-1
20230206  00:00:45,1987.6,1987.6,1987.45,1987.45,-1,-1
20230206  00:00:50,1987.45,1988.1,1987.2,1987.9,-1,-1
20230206  00:00:55,1987.9,1987.9,1987.25,1987.4,-1,-1
20230206  00:01:00,1987.4,1988.0,1987.4,1987.85,-1,-1
20230206  00:01:05,1987.85,1988.25,1987.8,1988.2,-1,-1
20230206  00:01:10,1988.2,1988.3,1988.2,1988.25,-1,-1
20230206  00:01:15,1988.25,1988.3,1988.15,1988.25,-1,-1
20230206  00:01:20,1988.25,1988.6,1988.2,1988.55,-1,-1
20230206  00:01:25,1988.55,1988.65,1988.55,1988.65,-1,-1
20230206  00:01:30,1988.65,1988.65,1987.75,1987.75,-1,-1
20230206  00:01:35,1987.75,1987.8,1987.55,1987.55,-1,-1
20230206  00:01:40,1987.55,1987.7,1987.35,1987.35,-1,-1
20230206  00:01:45,1987.35,1987.35,1987.15,1987.2,-1,-1
20230206  00:01:50,1987.2,1987.45,1987.2,1987.45,-1,-1
20230206  00:01:55,1987.45,1988.0,1987.4,1987.9,-1,-1
20230206  00:02:00,1987.9,1988.25,1987.9,1988.25,-1,-1
20230206  00:02:05,1988.25,1988.25,1987.8,1987.9,-1,-1
20230206  00:02:10,1987.9,1988.45,1987.9,1988.45,-1,-1
20230206  00:02:15,1988.45,1988.45,1988.15,1988.15,-1,-1
20230206  00:02:20,1988.15,1988.15,1987.8,1987.9,-1,-1
20230206  00:02:25,1987.9,1988.3,1987.9,1988.15,-1,-1
20230206  00:02:30,1988.15,1988.45,1988.15,1988.45,-1,-1
20230206  00:02:35,1988.45,1988.45,1988.3,1988.3,-1,-1
20230206  00:02:40,1988.3,1988.3,1988.15,1988.15,-1,-1
