date,open,high,low,close,volume,barCount
20230210  10:00:00,150.15,151.475,149.335,149.335,-1,-1
20230210  11:00:00,149.335,149.53,149.005,149.335,-1,-1
20230210  12:00:00,149.335,149.335,148.705,148.845,-1,-1
20230210  13:00:00,148.845,149.09,148.74,148.93,-1,-1
20230210  14:00:00,148.93,149.735,148.92,149.455,-1,-1
20230210  15:00:00,149.455,150.565,149.075,149.935,-1,-1
20230210  16:00:00,149.935,151.345,149.355,150.36,-1,-1
20230210  17:00:00,150.36,150.915,149.705,149.82,-1,-1
20230210  18:00:00,149.82,150.185,149.435,150.155,-1,-1
20230210  19:00:00,150.155,151.115,150.065,150.465,-1,-1
20230210  20:00:00,150.465,150.655,150.015,150.655,-1,-1
20230210  21:00:00,150.655,151.155,150.295,151.015,-1,-1
20230210  22:00:00,151.015,151.065,150.88,150.925,-1,-1
20230210  23:00:00,150.925,150.995,150.91,150.98,-1,-1
20230211  00:00:00,150.98,151.02,150.965,151.01,-1,-1
20230211  01:00:00,151.01,151.27,150.98,151.215,-1,-1
20230213  10:00:00,150.58,151.1,150.46,150.6,-1,-1
20230213  11:00:00,150.6,150.88,150.54,150.805,-1,-1
20230213  12:00:00,150.805,150.945,150.7,150.895,-1,-1
20230213  13:00:00,150.895,151.71,150.89,151.385,-1,-1
20230213  14:00:00,151.385,151.61,151.06,151.075,-1,-1
20230213  15:00:00,151.075,152.195,150.765,152.185,-1,-1
20230213  16:00:00,152.185,152.785,151.865,152.63,-1,-1
20230213  17:00:00,152.63,153.685,152.63,153.435,-1,-1
20230213  18:00:00,153.435,154.255,153.405,153.805,-1,-1
20230213  19:00:00,153.805,154.175,153.465,153.975,-1,-1
20230213  20:00:00,153.975,154.025,152.765,153.075,-1,-1
20230213  21:00:00,153.075,153.975,152.765,153.845,-1,-1
20230213  22:00:00,153.845,153.845,153.645,153.73,-1,-1
20230213  23:00:00,153.73,153.895,153.725,153.815,-1,-1
20230214  00:00:00,153.815,153.84,153.625,153.7,-1,-1
20230214  01:00:00,153.7,153.74,153.6,153.74,-1,-1
20230214  10:00:00,153.33,153.94,153.305,153.735,-1,-1
20230214  11:00:00,153.735,154.2,153.725,154.08,-1,-1
20230214  12:00:00,154.08,154.345,153.965,154.02,-1,-1
20230214  13:00:00,154.02,154.15,153.925,154.075,-1,-1
20230214  14:00:00,154.075,155.15,152.83,153.1,-1,-1
20230214  15:00:00,153.1,153.245,150.995,152.835,-1,-1
20230214  16:00:00,152.835,153.765,150.865,151.875,-1,-1
20230214  17:00:00,151.875,152.595,151.035,151.7,-1,-1
20230214  18:00:00,151.7,152.335,151.565,152.105,-1,-1
20230214  19:00:00,152.105,153.225,152.055,153.045,-1,-1
20230214  20:00:00,153.045,153.575,152.42,153.245,-1,-1
20230214  21:00:00,153.245,153.715,152.945,153.11,-1,-1
20230214  22:00:00,153.11,153.16,152.835,153.045,-1,-1
20230214  23:00:00,153.045,153.2,153.035,153.19,-1,-1
20230215  00:00:00,153.19,153.195,153.05,153.085,-1,-1
20230215  01:00:00,153.085,153.115,152.705,152.815,-1,-1
20230215  10:00:00,152.84,152.9,152.19,152.585,-1,-1
20230215  11:00:00,152.585,152.665,152.455,152.625,-1,-1
20230215  12:00:00,152.625,152.785,152.54,152.68,-1,-1
20230215  13:00:00,152.68,153.17,152.655,152.87,-1,-1
20230215  14:00:00,152.87,153.405,152.095,152.955,-1,-1
20230215  15:00:00,152.955,154.515,152.32,153.56,-1,-1
20230215  16:00:00,153.56,154.395,153.085,153.825,-1,-1
20230215  17:00:00,153.825,155.5,153.805,155.255,-1,-1
20230215  18:00:00,155.255,155.395,153.505,154.07,-1,-1
20230215  19:00:00,154.07,155.045,153.715,155.005,-1,-1
20230215  20:00:00,155.005,155.475,154.91,155.015,-1,-1
20230215  21:00:00,155.015,155.355,154.675,155.355,-1,-1
20230215  22:00:00,155.355,155.445,155.125,155.295,-1,-1
20230215  23:00:00,155.295,155.305,155.265,155.275,-1,-1
20230216  00:00:00,155.275,155.38,155.265,155.335,-1,-1
20230216  01:00:00,155.335,155.505,155.33,155.475,-1,-1
20230216  10:00:00,155.6,155.6,155.015,155.03,-1,-1
20230216  11:00:00,155.03,155.235,154.985,155.05,-1,-1
20230216  12:00:00,155.05,155.315,155.03,155.27,-1,-1
20230216  13:00:00,155.27,155.43,154.84,154.935,-1,-1
20230216  14:00:00,154.935,154.965,153.11,153.525,-1,-1
20230216  15:00:00,153.525,154.655,153.05,154.075,-1,-1
20230216  16:00:00,154.075,155.215,153.805,155.155,-1,-1
20230216  17:00:00,155.155,155.495,154.885,155.065,-1,-1
20230216  18:00:00,155.065,156.17,154.755,155.935,-1,-1
20230216  19:00:00,155.935,156.19,155.535,155.945,-1,-1
20230216  20:00:00,155.945,156.325,155.725,156.195,-1,-1
20230216  21:00:00,156.195,156.245,153.59,153.71,-1,-1
20230216  22:00:00,153.71,153.735,153.07,153.27,-1,-1
20230216  23:00:00,153.27,153.295,153.21,153.28,-1,-1
20230217  00:00:00,153.28,153.34,152.76,152.92,-1,-1
20230217  01:00:00,152.92,153.045,152.815,152.905,-1,-1
20230217  10:00:00,152.26,152.63,151.885,152.175,-1,-1
20230217  11:00:00,152.175,152.36,152.01,152.04,-1,-1
20230217  12:00:00,152.04,152.15,151.83,152.095,-1,-1
20230217  13:00:00,152.095,152.475,152.07,152.425,-1,-1
20230217  14:00:00,152.425,152.595,152.025,152.475,-1,-1
20230217  15:00:00,152.475,153.315,151.505,151.685,-1,-1
20230217  16:00:00,151.685,152.685,151.635,152.0,-1,-1
20230217  17:00:00,152.0,152.265,151.375,151.575,-1,-1
20230217  18:00:00,151.575,152.165,150.915,151.085,-1,-1
20230217  19:00:00,151.085,151.495,150.855,151.435,-1,-1
20230217  20:00:00,151.435,152.355,151.345,152.355,-1,-1
20230217  21:00:00,152.355,152.625,151.925,152.54,-1,-1
20230217  22:00:00,152.54,152.545,152.395,152.51,-1,-1
20230217  23:00:00,152.51,152.53,152.405,152.51,-1,-1
20230218  00:00:00,152.51,152.685,152.475,152.625,-1,-1
20230218  01:00:00,152.625,152.625,152.555,152.6,-1,-1
20230221  10:00:00,150.475,151.18,150.215,151.005,-1,-1
20230221  11:00:00,151.005,151.05,150.545,150.56,-1,-1
20230221  12:00:00,150.56,150.895,150.475,150.8,-1,-1
20230221  13:00:00,150.8,151.05,150.53,150.63,-1,-1
20230221  14:00:00,150.63,150.655,150.3,150.46,-1,-1
20230221  15:00:00,150.46,151.295,150.08,150.36,-1,-1
20230221  16:00:00,150.36,150.61,149.605,149.93,-1,-1
20230221  17:00:00,149.93,150.065,149.365,149.805,-1,-1
20230221  18:00:00,149.805,150.145,149.625,150.015,-1,-1
20230221  19:00:00,150.015,150.035,149.295,149.405,-1,-1
20230221  20:00:00,149.405,149.415,148.565,148.675,-1,-1
20230221  21:00:00,148.675,148.945,148.405,148.495,-1,-1
20230221  22:00:00,148.495,148.68,148.43,148.51,-1,-1
20230221  23:00:00,148.51,148.6,148.505,148.535,-1,-1
20230222  00:00:00,148.535,148.835,148.535,148.83,-1,-1
20230222  01:00:00,148.83,148.885,148.65,148.735,-1,-1
20230222  10:00:00,148.955,151.12,148.21,148.765,-1,-1
20230222  11:00:00,148.765,148.86,148.39,148.525,-1,-1
20230222  12:00:00,148.525,148.54,148.125,148.445,-1,-1
20230222  13:00:00,148.445,149.445,148.285,149.145,-1,-1
20230222  14:00:00,149.145,149.275,148.785,148.99,-1,-1
20230222  15:00:00,148.99,149.495,147.855,147.925,-1,-1
20230222  16:00:00,147.925,148.395,147.16,148.145,-1,-1
20230222  17:00:00,148.145,148.315,147.69,148.07,-1,-1
20230222  18:00:00,148.07,149.11,147.835,148.925,-1,-1
20230222  19:00:00,148.925,149.425,148.765,149.16,-1,-1
20230222  20:00:00,149.16,149.955,148.265,148.375,-1,-1
20230222  21:00:00,148.375,148.965,148.18,148.935,-1,-1
20230222  22:00:00,148.935,149.635,148.655,149.37,-1,-1
20230222  23:00:00,149.37,149.45,149.255,149.35,-1,-1
20230223  00:00:00,149.35,149.35,149.035,149.19,-1,-1
20230223  01:00:00,149.19,149.275,149.105,149.165,-1,-1
20230223  10:00:00,152.39,152.39,149.24,149.34,-1,-1
20230223  11:00:00,149.34,149.375,149.22,149.335,-1,-1
