date,open,high,low,close,volume,barCount
20230118  10:00:00,135.95,136.12,135.87,136.02,-1,-1
20230118  10:01:00,136.02,136.085,135.98,136.075,-1,-1
20230118  10:02:00,136.075,136.12,136.05,136.075,-1,-1
20230118  10:03:00,136.075,136.12,136.065,136.085,-1,-1
20230118  10:04:00,136.085,136.13,136.05,136.08,-1,-1
20230118  10:05:00,136.08,136.155,136.08,136.09,-1,-1
20230118  10:06:00,136.09,136.15,136.06,136.09,-1,-1
20230118  10:07:00,136.09,136.11,136.06,136.06,-1,-1
20230118  10:08:00,136.06,136.135,136.05,136.085,-1,-1
20230118  10:09:00,136.085,136.125,136.085,136.125,-1,-1
20230118  10:10:00,136.125,136.14,136.12,136.135,-1,-1
20230118  10:11:00,136.135,136.135,136.13,136.135,-1,-1
20230118  10:12:00,136.135,136.135,136.08,136.115,-1,-1
20230118  10:13:00,136.115,136.12,136.065,136.11,-1,-1
20230118  10:14:00,136.11,136.13,136.1,136.11,-1,-1
20230118  10:15:00,136.11,136.145,136.1,136.14,-1,-1
20230118  10:16:00,136.14,136.165,136.115,136.14,-1,-1
20230118  10:17:00,136.14,136.15,136.135,136.15,-1,-1
20230118  10:18:00,136.15,136.235,136.15,136.23,-1,-1
20230118  10:19:00,136.23,136.285,136.23,136.285,-1,-1
20230118  10:20:00,136.285,136.285,136.22,136.245,-1,-1
20230118  10:21:00,136.245,136.26,136.245,136.25,-1,-1
20230118  10:22:00,136.25,136.26,136.2,136.24,-1,-1
20230118  10:23:00,136.24,136.28,136.24,136.28,-1,-1
20230118  10:24:00,136.28,136.325,136.28,136.315,-1,-1
20230118  10:25:00,136.315,136.35,136.315,136.32,-1,-1
20230118  10:26:00,136.32,136.345,136.3,136.32,-1,-1
20230118  10:27:00,136.32,136.33,136.265,136.275,-1,-1
20230118  10:28:00,136.275,136.275,136.185,136.185,-1,-1
20230118  10:29:00,136.185,136.19,136.18,136.185,-1,-1
20230118  10:30:00,136.185,136.19,136.12,136.17,-1,-1
20230118  10:31:00,136.17,136.2,136.15,136.15,-1,-1
20230118  10:32:00,136.15,136.185,136.15,136.185,-1,-1
20230118  10:33:00,136.185,136.19,136.13,136.155,-1,-1
20230118  10:34:00,136.155,136.18,136.155,136.155,-1,-1
20230118  10:35:00,136.155,136.19,136.145,136.15,-1,-1
20230118  10:36:00,136.15,136.15,136.15,136.15,-1,-1
20230118  10:37:00,136.15,136.16,136.14,136.15,-1,-1
20230118  10:38:00,136.15,136.16,136.085,136.1,-1,-1
20230118  10:39:00,136.1,136.145,136.1,136.145,-1,-1
20230118  10:40:00,136.145,136.145,136.125,136.135,-1,-1
