date,open,high,low,close,volume,barCount
20230321  09:00:00,96.745,97.165,95.91,97.11,-1,-1
20230321  09:01:00,97.11,97.17,96.995,97.03,-1,-1
20230321  09:02:00,97.03,97.27,96.995,97.03,-1,-1
20230321  09:03:00,97.03,97.035,97.03,97.03,-1,-1
20230321  09:04:00,97.03,97.11,97.03,97.03,-1,-1
20230321  09:05:00,97.03,97.075,97.03,97.075,-1,-1
20230321  09:06:00,97.075,97.145,97.055,97.145,-1,-1
20230321  09:07:00,97.145,97.215,97.065,97.145,-1,-1
20230321  09:08:00,97.145,97.235,97.145,97.195,-1,-1
20230321  09:09:00,97.195,97.195,97.195,97.195,-1,-1
20230321  09:10:00,97.195,97.195,97.065,97.075,-1,-1
20230321  09:11:00,97.075,97.125,97.05,97.125,-1,-1
20230321  09:12:00,97.125,97.16,97.075,97.16,-1,-1
20230321  09:13:00,97.16,97.165,97.1,97.1,-1,-1
20230321  09:14:00,97.1,97.115,97.1,97.1,-1,-1
20230321  09:15:00,97.1,97.1,97.025,97.04,-1,-1
20230321  09:16:00,97.04,97.04,97.04,97.04,-1,-1
20230321  09:17:00,97.04,97.075,97.025,97.025,-1,-1
20230321  09:18:00,97.025,97.025,97.025,97.025,-1,-1
20230321  09:19:00,97.025,97.025,97.025,97.025,-1,-1
20230321  09:20:00,97.025,97.025,97.025,97.025,-1,-1
20230321  09:21:00,97.025,97.025,97.025,97.025,-1,-1
20230321  09:22:00,97.025,97.025,97.025,97.025,-1,-1
20230321  09:23:00,97.025,97.025,97.025,97.025,-1,-1
20230321  09:24:00,97.025,97.025,96.95,96.95,-1,-1
20230321  09:25:00,96.95,96.95,96.575,96.79,-1,-1
20230321  09:26:00,96.79,96.925,96.74,96.92,-1,-1
20230321  09:27:00,96.92,97.02,96.92,97.01,-1,-1
20230321  09:28:00,97.01,97.01,96.975,96.98,-1,-1
20230321  09:29:00,96.98,96.98,96.98,96.98,-1,-1
20230321  09:30:00,96.98,97.025,96.98,97.025,-1,-1
20230321  09:31:00,97.025,97.065,96.895,96.895,-1,-1
20230321  09:32:00,96.895,96.98,96.895,96.98,-1,-1
20230321  09:33:00,96.98,96.98,96.975,96.975,-1,-1
20230321  09:34:00,96.975,96.98,96.905,96.925,-1,-1
20230321  09:35:00,96.925,96.925,96.905,96.905,-1,-1
20230321  09:36:00,96.905,96.905,96.775,96.795,-1,-1
