date,open,high,low,close,volume,barCount
20230215  10:00:00,35.36,35.705,35.36,35.56,-1,-1
20230215  10:01:00,35.56,35.56,35.56,35.56,-1,-1
20230215  10:02:00,35.56,35.56,35.56,35.56,-1,-1
20230215  10:03:00,35.56,35.56,35.55,35.55,-1,-1
20230215  10:04:00,35.55,35.56,35.55,35.56,-1,-1
20230215  10:05:00,35.56,35.56,35.56,35.56,-1,-1
20230215  10:06:00,35.56,35.56,35.56,35.56,-1,-1
20230215  10:07:00,35.56,35.56,35.56,35.56,-1,-1
20230215  10:08:00,35.56,35.56,35.56,35.56,-1,-1
20230215  10:09:00,35.56,35.56,35.56,35.56,-1,-1
20230215  10:10:00,35.56,35.56,35.56,35.56,-1,-1
20230215  10:11:00,35.56,35.56,35.56,35.56,-1,-1
20230215  10:12:00,35.56,35.56,35.56,35.56,-1,-1
20230215  10:13:00,35.56,35.56,35.56,35.56,-1,-1
20230215  10:14:00,35.56,35.56,35.56,35.56,-1,-1
20230215  10:15:00,35.56,35.56,35.56,35.56,-1,-1
20230215  10:16:00,35.56,35.56,35.56,35.56,-1,-1
20230215  10:17:00,35.56,35.56,35.55,35.55,-1,-1
20230215  10:18:00,35.55,35.55,35.55,35.55,-1,-1
20230215  10:19:00,35.55,35.55,35.55,35.55,-1,-1
20230215  10:20:00,35.55,35.55,35.55,35.55,-1,-1
20230215  10:21:00,35.55,35.56,35.55,35.56,-1,-1
20230215  10:22:00,35.56,35.56,35.56,35.56,-1,-1
20230215  10:23:00,35.56,35.56,35.55,35.55,-1,-1
20230215  10:24:00,35.55,35.55,35.55,35.55,-1,-1
20230215  10:25:00,35.55,35.55,35.55,35.55,-1,-1
20230215  10:26:00,35.55,35.56,35.55,35.555,-1,-1
20230215  10:27:00,35.555,35.56,35.555,35.555,-1,-1
20230215  10:28:00,35.555,35.555,35.555,35.555,-1,-1
20230215  10:29:00,35.555,35.56,35.55,35.55,-1,-1
20230215  10:30:00,35.55,35.55,35.55,35.55,-1,-1
20230215  10:31:00,35.55,35.55,35.55,35.55,-1,-1
20230215  10:32:00,35.55,35.55,35.55,35.55,-1,-1
20230215  10:33:00,35.55,35.55,35.55,35.55,-1,-1
20230215  10:34:00,35.55,35.55,35.55,35.55,-1,-1
20230215  10:35:00,35.55,35.55,35.55,35.55,-1,-1
20230215  10:36:00,35.55,35.55,35.55,35.55,-1,-1
20230215  10:37:00,35.55,35.55,35.55,35.55,-1,-1
20230215  10:38:00,35.55,35.55,35.55,35.55,-1,-1
20230215  10:39:00,35.55,35.56,35.55,35.56,-1,-1
20230215  10:40:00,35.56,35.56,35.56,35.56,-1,-1
20230215  10:41:00,35.56,35.56,35.55,35.55,-1,-1
20230215  10:42:00,35.55,35.55,35.55,35.55,-1,-1
20230215  10:43:00,35.55,35.55,35.55,35.55,-1,-1
20230215  10:44:00,35.55,35.55,35.55,35.55,-1,-1
20230215  10:45:00,35.55,35.55,35.55,35.55,-1,-1
20230215  10:46:00,35.55,35.56,35.55,35.56,-1,-1
20230215  10:47:00,35.56,35.56,35.56,35.56,-1,-1
20230215  10:48:00,35.56,35.56,35.56,35.56,-1,-1
20230215  10:49:00,35.56,35.56,35.56,35.56,-1,-1
20230215  10:50:00,35.56,35.56,35.56,35.56,-1,-1
20230215  10:51:00,35.56,35.56,35.54,35.54,-1,-1
