date,open,high,low,close,volume,barCount
20230104  14:43:00,73.52,73.52,73.52,73.52,-1,-1
20230104  14:44:00,73.52,73.52,73.52,73.52,-1,-1
20230104  14:45:00,73.52,73.52,73.52,73.52,-1,-1
20230104  14:46:00,73.52,73.52,73.52,73.52,-1,-1
20230104  14:47:00,73.52,73.52,73.52,73.52,-1,-1
20230104  14:48:00,73.52,73.52,73.52,73.52,-1,-1
20230104  14:49:00,73.52,73.52,73.52,73.52,-1,-1
20230104  14:50:00,73.52,73.52,73.52,73.52,-1,-1
20230104  14:51:00,73.52,73.52,73.52,73.52,-1,-1
20230104  14:52:00,73.52,73.52,73.52,73.52,-1,-1
20230104  14:53:00,73.52,73.52,73.52,73.52,-1,-1
20230104  14:54:00,73.52,73.52,73.52,73.52,-1,-1
20230104  14:55:00,73.52,73.52,73.52,73.52,-1,-1
20230104  14:56:00,73.52,73.52,73.52,73.52,-1,-1
20230104  14:57:00,73.52,73.52,73.52,73.52,-1,-1
20230104  14:58:00,73.52,73.52,73.52,73.52,-1,-1
20230104  14:59:00,73.52,73.52,73.52,73.52,-1,-1
20230104  15:00:00,73.52,73.52,73.52,73.52,-1,-1
20230104  15:01:00,73.52,73.52,73.52,73.52,-1,-1
20230104  15:02:00,73.52,73.52,73.52,73.52,-1,-1
20230104  15:03:00,73.52,73.52,73.52,73.52,-1,-1
20230104  15:04:00,73.52,73.52,73.52,73.52,-1,-1
20230104  15:05:00,73.52,73.52,73.52,73.52,-1,-1
20230104  15:06:00,73.52,73.52,67.29,67.29,-1,-1
20230104  15:07:00,67.29,67.29,67.29,67.29,-1,-1
20230104  15:08:00,67.29,67.29,67.29,67.29,-1,-1
20230104  15:09:00,67.29,67.29,67.29,67.29,-1,-1
20230104  15:10:00,67.29,67.29,67.29,67.29,-1,-1
20230104  15:11:00,67.29,67.29,67.29,67.29,-1,-1
20230104  15:12:00,67.29,67.29,67.29,67.29,-1,-1
20230104  15:13:00,67.29,67.29,67.29,67.29,-1,-1
20230104  15:14:00,67.29,67.29,67.29,67.29,-1,-1
20230104  15:15:00,67.29,67.29,67.29,67.29,-1,-1
20230104  15:16:00,67.29,67.29,67.29,67.29,-1,-1
20230104  15:17:00,67.29,67.29,67.29,67.29,-1,-1
20230104  15:18:00,67.29,67.29,67.29,67.29,-1,-1
20230104  15:19:00,67.29,67.29,67.29,67.29,-1,-1
20230104  15:20:00,67.29,74.495,58.23,58.23,-1,-1
20230104  15:21:00,58.23,58.23,58.23,58.23,-1,-1
20230104  15:22:00,58.23,58.23,58.23,58.23,-1,-1
20230104  15:23:00,58.23,58.23,58.23,58.23,-1,-1
20230104  15:24:00,58.23,58.23,58.23,58.23,-1,-1
20230104  15:25:00,58.23,58.46,58.23,58.45,-1,-1
20230104  15:26:00,58.45,58.45,56.92,58.4,-1,-1
20230104  15:27:00,58.4,58.4,58.345,58.345,-1,-1
20230104  15:28:00,58.345,58.345,58.22,58.22,-1,-1
20230104  15:29:00,58.22,58.475,57.495,58.475,-1,-1
20230104  15:30:00,58.475,58.965,58.445,58.55,-1,-1
20230104  15:31:00,58.55,58.555,58.54,58.54,-1,-1
20230104  15:32:00,58.54,58.54,58.54,58.54,-1,-1
20230104  15:33:00,58.54,58.55,58.455,58.455,-1,-1
20230104  15:34:00,58.455,58.55,58.22,58.22,-1,-1
20230104  15:35:00,58.22,58.665,58.18,58.665,-1,-1
20230104  15:36:00,58.665,58.665,58.665,58.665,-1,-1
20230104  15:37:00,58.665,58.795,58.655,58.795,-1,-1
20230104  15:38:00,58.795,58.795,58.795,58.795,-1,-1
20230104  15:39:00,58.795,59.205,58.795,59.205,-1,-1
20230104  15:40:00,59.205,59.21,59.205,59.21,-1,-1
20230104  15:41:00,59.21,59.21,59.21,59.21,-1,-1
20230104  15:42:00,59.21,59.21,59.21,59.21,-1,-1
20230104  15:43:00,59.21,59.21,59.21,59.21,-1,-1
20230104  15:44:00,59.21,59.21,59.21,59.21,-1,-1
20230104  15:45:00,59.21,59.21,59.21,59.21,-1,-1
20230104  15:46:00,59.21,59.21,59.21,59.21,-1,-1
20230104  15:47:00,59.21,59.21,59.21,59.21,-1,-1
20230104  15:48:00,59.21,59.245,59.195,59.245,-1,-1
20230104  15:49:00,59.245,59.245,59.24,59.24,-1,-1
20230104  15:50:00,59.24,59.24,59.24,59.24,-1,-1
20230104  15:51:00,59.24,59.24,59.075,59.075,-1,-1
20230104  15:52:00,59.075,59.075,59.075,59.075,-1,-1
20230104  15:53:00,59.075,59.075,59.075,59.075,-1,-1
20230104  15:54:00,59.075,59.075,59.065,59.065,-1,-1
20230104  15:55:00,59.065,59.065,59.065,59.065,-1,-1
20230104  15:56:00,59.065,59.065,59.065,59.065,-1,-1
20230104  15:57:00,59.065,59.065,59.065,59.065,-1,-1
20230104  15:58:00,59.065,59.065,59.055,59.055,-1,-1
20230104  15:59:00,59.055,59.055,59.055,59.055,-1,-1
20230104  16:00:00,59.055,59.055,58.515,58.515,-1,-1
20230104  16:01:00,58.515,58.7,58.51,58.7,-1,-1
20230104  16:02:00,58.7,59.165,58.7,59.16,-1,-1
20230104  16:03:00,59.16,59.16,58.855,58.855,-1,-1
20230104  16:04:00,58.855,58.855,58.85,58.85,-1,-1
20230104  16:05:00,58.85,58.85,58.85,58.85,-1,-1
20230104  16:06:00,58.85,58.85,58.7,58.7,-1,-1
20230104  16:07:00,58.7,58.7,58.695,58.695,-1,-1
20230104  16:08:00,58.695,58.695,58.585,58.585,-1,-1
20230104  16:09:00,58.585,58.585,58.585,58.585,-1,-1
20230104  16:10:00,58.585,58.585,58.585,58.585,-1,-1
20230104  16:11:00,58.585,58.585,58.585,58.585,-1,-1
20230104  16:12:00,58.585,58.585,58.585,58.585,-1,-1
20230104  16:13:00,58.585,58.655,58.585,58.655,-1,-1
20230104  16:14:00,58.655,58.66,58.655,58.66,-1,-1
20230104  16:15:00,58.66,58.67,58.66,58.67,-1,-1
20230104  16:16:00,58.67,58.67,58.67,58.67,-1,-1
20230104  16:17:00,58.67,58.67,58.67,58.67,-1,-1
20230104  16:18:00,58.67,58.67,58.67,58.67,-1,-1
20230104  16:19:00,58.67,58.67,58.67,58.67,-1,-1
20230104  16:20:00,58.67,58.67,58.67,58.67,-1,-1
