date,open,high,low,close,volume,barCount
20230130  10:00:00,270.12,273.95,270.12,273.95,-1,-1
20230130  10:01:00,273.95,273.95,273.95,273.95,-1,-1
20230130  10:02:00,273.95,273.95,273.95,273.95,-1,-1
20230130  10:03:00,273.95,275.455,272.28,273.785,-1,-1
20230130  10:04:00,273.785,273.785,273.785,273.785,-1,-1
20230130  10:05:00,273.785,273.785,272.745,272.745,-1,-1
20230130  10:06:00,272.745,272.745,272.745,272.745,-1,-1
20230130  10:07:00,272.745,272.745,272.745,272.745,-1,-1
20230130  10:08:00,272.745,272.745,272.745,272.745,-1,-1
20230130  10:09:00,272.745,272.745,272.745,272.745,-1,-1
20230130  10:10:00,272.745,272.745,272.745,272.745,-1,-1
20230130  10:11:00,272.745,272.745,272.745,272.745,-1,-1
20230130  10:12:00,272.745,272.745,272.745,272.745,-1,-1
20230130  10:13:00,272.745,272.745,272.475,272.475,-1,-1
20230130  10:14:00,272.475,272.475,272.475,272.475,-1,-1
20230130  10:15:00,272.475,272.475,272.475,272.475,-1,-1
20230130  10:16:00,272.475,272.475,272.475,272.475,-1,-1
20230130  10:17:00,272.475,272.475,272.475,272.475,-1,-1
20230130  10:18:00,272.475,272.475,272.475,272.475,-1,-1
20230130  10:19:00,272.475,272.475,272.475,272.475,-1,-1
20230130  10:20:00,272.475,272.475,272.475,272.475,-1,-1
20230130  10:21:00,272.475,272.475,272.475,272.475,-1,-1
20230130  10:22:00,272.475,272.475,272.475,272.475,-1,-1
20230130  10:23:00,272.475,272.475,272.475,272.475,-1,-1
20230130  10:24:00,272.475,272.475,272.475,272.475,-1,-1
20230130  10:25:00,272.475,272.475,272.475,272.475,-1,-1
20230130  10:26:00,272.475,272.475,272.475,272.475,-1,-1
20230130  10:27:00,272.475,272.475,272.475,272.475,-1,-1
20230130  10:28:00,272.475,272.475,272.475,272.475,-1,-1
20230130  10:29:00,272.475,272.475,272.475,272.475,-1,-1
20230130  10:30:00,272.475,272.475,272.475,272.475,-1,-1
20230130  10:31:00,272.475,272.475,272.475,272.475,-1,-1
20230130  10:32:00,272.475,272.475,272.475,272.475,-1,-1
20230130  10:33:00,272.475,272.475,272.475,272.475,-1,-1
20230130  10:34:00,272.475,272.475,272.475,272.475,-1,-1
20230130  10:35:00,272.475,272.475,272.475,272.475,-1,-1
