date,open,high,low,close,volume,barCount
20230323  09:00:00,276.375,276.375,266.15,268.755,-1,-1
20230323  09:01:00,268.755,269.635,268.745,269.41,-1,-1
20230323  09:02:00,269.41,269.95,269.265,269.95,-1,-1
20230323  09:03:00,269.95,270.545,269.95,270.25,-1,-1
20230323  09:04:00,270.25,270.985,270.235,270.94,-1,-1
20230323  09:05:00,270.94,271.095,270.625,270.995,-1,-1
20230323  09:06:00,270.995,271.29,270.725,270.815,-1,-1
20230323  09:07:00,270.815,270.875,270.64,270.765,-1,-1
20230323  09:08:00,270.765,270.905,270.735,270.84,-1,-1
20230323  09:09:00,270.84,271.195,270.835,271.16,-1,-1
20230323  09:10:00,271.16,271.295,271.125,271.125,-1,-1
20230323  09:11:00,271.125,271.295,271.125,271.22,-1,-1
20230323  09:12:00,271.22,271.25,270.885,270.99,-1,-1
20230323  09:13:00,270.99,270.99,270.9,270.9,-1,-1
20230323  09:14:00,270.9,271.0,270.6,271.0,-1,-1
20230323  09:15:00,271.0,271.22,270.96,271.15,-1,-1
20230323  09:16:00,271.15,271.44,271.135,271.375,-1,-1
20230323  09:17:00,271.375,271.495,271.375,271.42,-1,-1
20230323  09:18:00,271.42,271.45,271.25,271.36,-1,-1
20230323  09:19:00,271.36,271.475,271.36,271.475,-1,-1
20230323  09:20:00,271.475,271.475,271.355,271.45,-1,-1
20230323  09:21:00,271.45,271.695,271.45,271.575,-1,-1
20230323  09:22:00,271.575,271.91,271.575,271.85,-1,-1
20230323  09:23:00,271.85,271.915,271.61,271.795,-1,-1
20230323  09:24:00,271.795,271.795,271.7,271.705,-1,-1
20230323  09:25:00,271.705,271.705,271.545,271.635,-1,-1
20230323  09:26:00,271.635,271.65,271.625,271.645,-1,-1
20230323  09:27:00,271.645,271.645,271.155,271.325,-1,-1
20230323  09:28:00,271.325,271.325,271.085,271.245,-1,-1
20230323  09:29:00,271.245,271.33,271.22,271.22,-1,-1
20230323  09:30:00,271.22,271.31,270.85,270.95,-1,-1
20230323  09:31:00,270.95,271.085,270.85,270.85,-1,-1
20230323  09:32:00,270.85,270.865,270.825,270.86,-1,-1
20230323  09:33:00,270.86,270.91,270.81,270.87,-1,-1
20230323  09:34:00,270.87,270.9,270.855,270.895,-1,-1
20230323  09:35:00,270.895,270.9,270.665,270.665,-1,-1
20230323  09:36:00,270.665,270.79,270.65,270.73,-1,-1
20230323  09:37:00,270.73,270.8,270.715,270.8,-1,-1
20230323  09:38:00,270.8,270.86,270.75,270.86,-1,-1
