date,open,high,low,close,volume,barCount
20230109  10:00:00,113.62,115.255,113.62,115.05,-1,-1
20230109  10:01:00,115.05,115.19,114.505,114.61,-1,-1
20230109  10:02:00,114.61,114.825,114.505,114.785,-1,-1
20230109  10:03:00,114.785,114.9,114.77,114.9,-1,-1
20230109  10:04:00,114.9,115.55,114.9,115.55,-1,-1
20230109  10:05:00,115.55,115.565,115.075,115.15,-1,-1
20230109  10:06:00,115.15,115.435,115.135,115.355,-1,-1
20230109  10:07:00,115.355,115.39,115.265,115.335,-1,-1
20230109  10:08:00,115.335,115.375,115.315,115.375,-1,-1
20230109  10:09:00,115.375,115.39,115.325,115.335,-1,-1
20230109  10:10:00,115.335,115.345,115.025,115.04,-1,-1
20230109  10:11:00,115.04,115.095,114.885,114.95,-1,-1
20230109  10:12:00,114.95,115.0,114.94,114.995,-1,-1
20230109  10:13:00,114.995,115.07,114.935,115.04,-1,-1
20230109  10:14:00,115.04,115.09,115.02,115.09,-1,-1
20230109  10:15:00,115.09,115.265,115.09,115.17,-1,-1
20230109  10:16:00,115.17,115.22,115.1,115.145,-1,-1
20230109  10:17:00,115.145,115.2,115.12,115.125,-1,-1
20230109  10:18:00,115.125,115.145,115.105,115.135,-1,-1
20230109  10:19:00,115.135,115.155,114.935,114.97,-1,-1
20230109  10:20:00,114.97,114.985,114.89,114.89,-1,-1
20230109  10:21:00,114.89,115.095,114.855,115.08,-1,-1
20230109  10:22:00,115.08,115.14,115.08,115.13,-1,-1
20230109  10:23:00,115.13,115.13,114.915,114.915,-1,-1
20230109  10:24:00,114.915,114.98,114.915,114.965,-1,-1
20230109  10:25:00,114.965,115.025,114.955,114.97,-1,-1
20230109  10:26:00,114.97,115.165,114.97,115.115,-1,-1
20230109  10:27:00,115.115,115.325,115.115,115.32,-1,-1
20230109  10:28:00,115.32,115.44,115.305,115.37,-1,-1
20230109  10:29:00,115.37,115.435,115.345,115.35,-1,-1
20230109  10:30:00,115.35,115.355,115.255,115.265,-1,-1
20230109  10:31:00,115.265,115.575,115.165,115.575,-1,-1
20230109  10:32:00,115.575,115.575,115.335,115.425,-1,-1
20230109  10:33:00,115.425,115.55,115.4,115.54,-1,-1
20230109  10:34:00,115.54,115.595,115.5,115.595,-1,-1
20230109  10:35:00,115.595,115.64,115.55,115.64,-1,-1
20230109  10:36:00,115.64,115.8,115.64,115.75,-1,-1
20230109  10:37:00,115.75,115.92,115.75,115.915,-1,-1
20230109  10:38:00,115.915,115.945,115.835,115.945,-1,-1
20230109  10:39:00,115.945,115.96,115.79,115.79,-1,-1
20230109  10:40:00,115.79,115.79,115.66,115.72,-1,-1
20230109  10:41:00,115.72,115.72,115.525,115.525,-1,-1
20230109  10:42:00,115.525,115.565,115.505,115.565,-1,-1
20230109  10:43:00,115.565,115.565,115.335,115.375,-1,-1
20230109  10:44:00,115.375,115.485,115.35,115.47,-1,-1
20230109  10:45:00,115.47,115.725,115.455,115.715,-1,-1
20230109  10:46:00,115.715,115.735,115.615,115.625,-1,-1
20230109  10:47:00,115.625,115.675,115.55,115.56,-1,-1
20230109  10:48:00,115.56,115.66,115.56,115.66,-1,-1
20230109  10:49:00,115.66,115.66,115.61,115.62,-1,-1
20230109  10:50:00,115.62,115.695,115.615,115.655,-1,-1
20230109  10:51:00,115.655,115.675,115.61,115.61,-1,-1
20230109  10:52:00,115.61,115.645,115.53,115.53,-1,-1
20230109  10:53:00,115.53,115.555,115.365,115.375,-1,-1
20230109  10:54:00,115.375,115.575,115.375,115.445,-1,-1
20230109  10:55:00,115.445,115.45,115.23,115.28,-1,-1
20230109  10:56:00,115.28,115.38,115.235,115.345,-1,-1
20230109  10:57:00,115.345,115.345,115.245,115.285,-1,-1
20230109  10:58:00,115.285,115.295,115.275,115.29,-1,-1
20230109  10:59:00,115.29,115.37,115.285,115.37,-1,-1
20230109  11:00:00,115.37,115.37,115.245,115.26,-1,-1
20230109  11:01:00,115.26,115.295,115.15,115.175,-1,-1
20230109  11:02:00,115.175,115.195,115.095,115.13,-1,-1
20230109  11:03:00,115.13,115.17,115.07,115.12,-1,-1
20230109  11:04:00,115.12,115.12,115.03,115.065,-1,-1
20230109  11:05:00,115.065,115.065,115.06,115.065,-1,-1
20230109  11:06:00,115.065,115.065,115.025,115.025,-1,-1
20230109  11:07:00,115.025,115.08,115.025,115.07,-1,-1
20230109  11:08:00,115.07,115.095,115.055,115.065,-1,-1
20230109  11:09:00,115.065,115.085,114.68,114.69,-1,-1
20230109  11:10:00,114.69,114.855,114.675,114.855,-1,-1
20230109  11:11:00,114.855,114.965,114.85,114.92,-1,-1
20230109  11:12:00,114.92,114.92,114.89,114.92,-1,-1
20230109  11:13:00,114.92,115.065,114.92,115.045,-1,-1
20230109  11:14:00,115.045,115.075,115.03,115.05,-1,-1
20230109  11:15:00,115.05,115.09,114.965,114.965,-1,-1
20230109  11:16:00,114.965,115.01,114.94,114.94,-1,-1
20230109  11:17:00,114.94,114.985,114.94,114.975,-1,-1
20230109  11:18:00,114.975,115.05,114.945,115.05,-1,-1
20230109  11:19:00,115.05,115.12,115.05,115.12,-1,-1
20230109  11:20:00,115.12,115.12,115.035,115.115,-1,-1
20230109  11:21:00,115.115,115.26,115.115,115.25,-1,-1
20230109  11:22:00,115.25,115.335,115.25,115.305,-1,-1
20230109  11:23:00,115.305,115.31,115.165,115.2,-1,-1
20230109  11:24:00,115.2,115.22,115.18,115.22,-1,-1
20230109  11:25:00,115.22,115.22,115.09,115.12,-1,-1
20230109  11:26:00,115.12,115.21,115.075,115.15,-1,-1
20230109  11:27:00,115.15,115.15,115.075,115.08,-1,-1
20230109  11:28:00,115.08,115.11,115.04,115.05,-1,-1
20230109  11:29:00,115.05,115.08,115.05,115.075,-1,-1
20230109  11:30:00,115.075,115.21,115.075,115.15,-1,-1
20230109  11:31:00,115.15,115.215,115.15,115.215,-1,-1
20230109  11:32:00,115.215,115.225,115.19,115.19,-1,-1
20230109  11:33:00,115.19,115.2,115.125,115.125,-1,-1
20230109  11:34:00,115.125,115.195,115.09,115.105,-1,-1
20230109  11:35:00,115.105,115.205,115.085,115.19,-1,-1
20230109  11:36:00,115.19,115.22,115.185,115.21,-1,-1
20230109  11:37:00,115.21,115.23,115.17,115.21,-1,-1
20230109  11:38:00,115.21,115.22,115.165,115.165,-1,-1
20230109  11:39:00,115.165,115.175,115.08,115.08,-1,-1
20230109  11:40:00,115.08,115.085,115.06,115.06,-1,-1
20230109  11:41:00,115.06,115.105,115.05,115.065,-1,-1
20230109  11:42:00,115.065,115.145,115.025,115.145,-1,-1
20230109  11:43:00,115.145,115.165,115.125,115.135,-1,-1
20230109  11:44:00,115.135,115.175,115.13,115.155,-1,-1
20230109  11:45:00,115.155,115.205,115.15,115.175,-1,-1
20230109  11:46:00,115.175,115.21,115.17,115.17,-1,-1
20230109  11:47:00,115.17,115.175,115.12,115.155,-1,-1
20230109  11:48:00,115.155,115.155,115.135,115.15,-1,-1
20230109  11:49:00,115.15,115.15,115.08,115.095,-1,-1
20230109  11:50:00,115.095,115.095,114.82,114.835,-1,-1
20230109  11:51:00,114.835,114.835,114.805,114.825,-1,-1
20230109  11:52:00,114.825,114.825,114.665,114.665,-1,-1
20230109  11:53:00,114.665,114.67,114.64,114.65,-1,-1
20230109  11:54:00,114.65,114.68,114.645,114.68,-1,-1
20230109  11:55:00,114.68,114.695,114.665,114.675,-1,-1
20230109  11:56:00,114.675,114.73,114.675,114.73,-1,-1
20230109  11:57:00,114.73,114.775,114.73,114.755,-1,-1
20230109  11:58:00,114.755,114.83,114.755,114.83,-1,-1
20230109  11:59:00,114.83,114.96,114.825,114.915,-1,-1
20230109  12:00:00,114.915,114.935,114.795,114.83,-1,-1
20230109  12:01:00,114.83,114.92,114.825,114.92,-1,-1
20230109  12:02:00,114.92,114.975,114.91,114.975,-1,-1
20230109  12:03:00,114.975,115.05,114.975,115.05,-1,-1
20230109  12:04:00,115.05,115.11,115.05,115.105,-1,-1
20230109  12:05:00,115.105,115.15,115.045,115.045,-1,-1
20230109  12:06:00,115.045,115.15,115.035,115.14,-1,-1
20230109  12:07:00,115.14,115.21,115.1,115.165,-1,-1
20230109  12:08:00,115.165,115.22,115.165,115.22,-1,-1
20230109  12:09:00,115.22,115.22,115.155,115.155,-1,-1
20230109  12:10:00,115.155,115.165,114.935,114.965,-1,-1
20230109  12:11:00,114.965,115.085,114.955,115.015,-1,-1
20230109  12:12:00,115.015,115.07,115.015,115.05,-1,-1
20230109  12:13:00,115.05,115.09,115.015,115.085,-1,-1
20230109  12:14:00,115.085,115.16,115.06,115.11,-1,-1
20230109  12:15:00,115.11,115.145,115.09,115.14,-1,-1
20230109  12:16:00,115.14,115.155,115.125,115.15,-1,-1
20230109  12:17:00,115.15,115.15,114.965,114.965,-1,-1
20230109  12:18:00,114.965,114.99,114.925,114.95,-1,-1
20230109  12:19:00,114.95,114.95,114.845,114.845,-1,-1
20230109  12:20:00,114.845,114.85,114.635,114.7,-1,-1
20230109  12:21:00,114.7,114.905,114.7,114.905,-1,-1
20230109  12:22:00,114.905,114.905,114.775,114.775,-1,-1
20230109  12:23:00,114.775,114.895,114.775,114.835,-1,-1
20230109  12:24:00,114.835,114.92,114.835,114.845,-1,-1
20230109  12:25:00,114.845,114.88,114.84,114.855,-1,-1
20230109  12:26:00,114.855,114.865,114.85,114.85,-1,-1
20230109  12:27:00,114.85,114.87,114.83,114.855,-1,-1
20230109  12:28:00,114.855,115.05,114.855,115.05,-1,-1
20230109  12:29:00,115.05,115.05,114.915,114.95,-1,-1
20230109  12:30:00,114.95,114.985,114.945,114.96,-1,-1
20230109  12:31:00,114.96,114.965,114.95,114.96,-1,-1
20230109  12:32:00,114.96,114.975,114.96,114.97,-1,-1
20230109  12:33:00,114.97,114.975,114.88,114.88,-1,-1
20230109  12:34:00,114.88,114.93,114.88,114.915,-1,-1
20230109  12:35:00,114.915,114.92,114.88,114.9,-1,-1
20230109  12:36:00,114.9,114.94,114.885,114.895,-1,-1
20230109  12:37:00,114.895,114.955,114.895,114.945,-1,-1
20230109  12:38:00,114.945,114.95,114.925,114.925,-1,-1
20230109  12:39:00,114.925,114.925,114.925,114.925,-1,-1
20230109  12:40:00,114.925,114.975,114.925,114.975,-1,-1
20230109  12:41:00,114.975,115.09,114.965,114.965,-1,-1
20230109  12:42:00,114.965,114.985,114.925,114.925,-1,-1
20230109  12:43:00,114.925,114.995,114.925,114.995,-1,-1
20230109  12:44:00,114.995,114.995,114.97,114.995,-1,-1
20230109  12:45:00,114.995,115.025,114.87,114.87,-1,-1
20230109  12:46:00,114.87,114.905,114.865,114.9,-1,-1
20230109  12:47:00,114.9,114.915,114.895,114.895,-1,-1
20230109  12:48:00,114.895,114.92,114.895,114.92,-1,-1
20230109  12:49:00,114.92,114.95,114.89,114.95,-1,-1
20230109  12:50:00,114.95,114.955,114.925,114.95,-1,-1
20230109  12:51:00,114.95,114.975,114.95,114.97,-1,-1
20230109  12:52:00,114.97,114.995,114.945,114.98,-1,-1
20230109  12:53:00,114.98,115.08,114.98,115.08,-1,-1
20230109  12:54:00,115.08,115.235,115.08,115.235,-1,-1
20230109  12:55:00,115.235,115.235,115.18,115.18,-1,-1
20230109  12:56:00,115.18,115.34,115.17,115.34,-1,-1
20230109  12:57:00,115.34,115.37,115.19,115.195,-1,-1
20230109  12:58:00,115.195,115.24,115.075,115.075,-1,-1
20230109  12:59:00,115.075,115.08,115.045,115.08,-1,-1
20230109  13:00:00,115.08,115.325,114.955,115.265,-1,-1
20230109  13:01:00,115.265,115.8,115.225,115.8,-1,-1
20230109  13:02:00,115.8,116.12,115.665,116.09,-1,-1
20230109  13:03:00,116.09,116.33,116.055,116.33,-1,-1
20230109  13:04:00,116.33,116.465,116.135,116.4,-1,-1
20230109  13:05:00,116.4,117.17,116.24,116.835,-1,-1
20230109  13:06:00,116.835,117.06,116.505,117.06,-1,-1
20230109  13:07:00,117.06,117.155,116.775,116.84,-1,-1
20230109  13:08:00,116.84,116.84,116.64,116.79,-1,-1
20230109  13:09:00,116.79,116.965,116.725,116.8,-1,-1
20230109  13:10:00,116.8,116.88,116.76,116.76,-1,-1
20230109  13:11:00,116.76,117.025,116.665,116.95,-1,-1
20230109  13:12:00,116.95,116.985,116.795,116.825,-1,-1
20230109  13:13:00,116.825,116.935,116.79,116.865,-1,-1
20230109  13:14:00,116.865,116.915,116.82,116.855,-1,-1
20230109  13:15:00,116.855,116.95,116.825,116.87,-1,-1
20230109  13:16:00,116.87,116.875,116.69,116.695,-1,-1
20230109  13:17:00,116.695,116.755,116.33,116.695,-1,-1
20230109  13:18:00,116.695,116.795,116.62,116.74,-1,-1
20230109  13:19:00,116.74,116.75,116.575,116.6,-1,-1
20230109  13:20:00,116.6,116.675,116.565,116.57,-1,-1
20230109  13:21:00,116.57,116.605,116.245,116.355,-1,-1
20230109  13:22:00,116.355,116.395,116.295,116.33,-1,-1
20230109  13:23:00,116.33,116.34,116.28,116.3,-1,-1
20230109  13:24:00,116.3,116.575,116.295,116.42,-1,-1
20230109  13:25:00,116.42,116.565,116.415,116.46,-1,-1
20230109  13:26:00,116.46,116.465,116.26,116.3,-1,-1
20230109  13:27:00,116.3,116.325,116.24,116.265,-1,-1
20230109  13:28:00,116.265,116.45,116.265,116.425,-1,-1
20230109  13:29:00,116.425,116.565,116.415,116.51,-1,-1
20230109  13:30:00,116.51,116.66,116.51,116.57,-1,-1
20230109  13:31:00,116.57,116.855,116.47,116.855,-1,-1
20230109  13:32:00,116.855,118.135,116.675,117.515,-1,-1
20230109  13:33:00,117.515,118.02,117.02,117.3,-1,-1
20230109  13:34:00,117.3,117.375,117.155,117.27,-1,-1
20230109  13:35:00,117.27,117.375,117.195,117.195,-1,-1
20230109  13:36:00,117.195,117.205,117.075,117.115,-1,-1
20230109  13:37:00,117.115,117.25,117.1,117.245,-1,-1
20230109  13:38:00,117.245,117.345,117.115,117.225,-1,-1
20230109  13:39:00,117.225,117.275,117.175,117.27,-1,-1
20230109  13:40:00,117.27,117.27,117.15,117.17,-1,-1
20230109  13:41:00,117.17,117.17,117.005,117.05,-1,-1
20230109  13:42:00,117.05,117.16,116.975,117.16,-1,-1
20230109  13:43:00,117.16,117.195,117.12,117.14,-1,-1
20230109  13:44:00,117.14,117.19,117.135,117.14,-1,-1
20230109  13:45:00,117.14,117.14,116.98,116.99,-1,-1
20230109  13:46:00,116.99,116.99,116.875,116.955,-1,-1
20230109  13:47:00,116.955,117.06,116.915,117.055,-1,-1
20230109  13:48:00,117.055,117.06,116.87,116.9,-1,-1
