date,open,high,low,close,volume,barCount
20230210  10:00:00,150.15,151.475,150.15,150.375,-1,-1
20230210  10:05:00,150.375,150.375,150.115,150.225,-1,-1
20230210  10:10:00,150.225,150.285,150.065,150.065,-1,-1
20230210  10:15:00,150.065,150.09,149.725,149.93,-1,-1
20230210  10:20:00,149.93,150.27,149.86,149.995,-1,-1
20230210  10:25:00,149.995,150.015,149.865,149.94,-1,-1
20230210  10:30:00,149.94,149.98,149.86,149.93,-1,-1
20230210  10:35:00,149.93,149.965,149.84,149.845,-1,-1
20230210  10:40:00,149.845,149.95,149.83,149.86,-1,-1
20230210  10:45:00,149.86,149.95,149.475,149.585,-1,-1
20230210  10:50:00,149.585,149.71,149.42,149.675,-1,-1
20230210  10:55:00,149.675,149.68,149.335,149.335,-1,-1
20230210  11:00:00,149.335,149.53,149.2,149.45,-1,-1
20230210  11:05:00,149.45,149.45,149.2,149.31,-1,-1
20230210  11:10:00,149.31,149.31,149.14,149.145,-1,-1
20230210  11:15:00,149.145,149.145,149.02,149.05,-1,-1
20230210  11:20:00,149.05,149.105,149.035,149.04,-1,-1
20230210  11:25:00,149.04,149.13,149.005,149.095,-1,-1
20230210  11:30:00,149.095,149.205,149.095,149.145,-1,-1
20230210  11:35:00,149.145,149.27,149.13,149.225,-1,-1
20230210  11:40:00,149.225,149.285,149.125,149.175,-1,-1
20230210  11:45:00,149.175,149.325,149.165,149.3,-1,-1
20230210  11:50:00,149.3,149.325,149.28,149.3,-1,-1
20230210  11:55:00,149.3,149.345,149.285,149.335,-1,-1
20230210  12:00:00,149.335,149.335,149.15,149.155,-1,-1
20230210  12:05:00,149.155,149.155,149.04,149.04,-1,-1
20230210  12:10:00,149.04,149.065,148.925,148.925,-1,-1
20230210  12:15:00,148.925,148.93,148.815,148.835,-1,-1
20230210  12:20:00,148.835,148.885,148.79,148.845,-1,-1
20230210  12:25:00,148.845,148.88,148.815,148.83,-1,-1
20230210  12:30:00,148.83,148.865,148.805,148.865,-1,-1
20230210  12:35:00,148.865,148.865,148.705,148.725,-1,-1
20230210  12:40:00,148.725,148.895,148.725,148.84,-1,-1
20230210  12:45:00,148.84,148.895,148.735,148.735,-1,-1
20230210  12:50:00,148.735,148.84,148.715,148.755,-1,-1
20230210  12:55:00,148.755,148.855,148.75,148.845,-1,-1
20230210  13:00:00,148.845,149.04,148.805,148.91,-1,-1
20230210  13:05:00,148.91,148.93,148.76,148.76,-1,-1
20230210  13:10:00,148.76,148.975,148.74,148.87,-1,-1
20230210  13:15:00,148.87,148.945,148.85,148.87,-1,-1
20230210  13:20:00,148.87,149.05,148.865,149.04,-1,-1
20230210  13:25:00,149.04,149.065,148.97,149.03,-1,-1
20230210  13:30:00,149.03,149.075,148.945,149.05,-1,-1
20230210  13:35:00,149.05,149.09,148.94,148.99,-1,-1
20230210  13:40:00,148.99,149.055,148.935,148.935,-1,-1
20230210  13:45:00,148.935,149.05,148.935,148.935,-1,-1
20230210  13:50:00,148.935,149.035,148.905,148.92,-1,-1
20230210  13:55:00,148.92,148.965,148.91,148.93,-1,-1
20230210  14:00:00,148.93,149.035,148.92,148.975,-1,-1
20230210  14:05:00,148.975,149.13,148.95,149.12,-1,-1
20230210  14:10:00,149.12,149.38,149.075,149.38,-1,-1
20230210  14:15:00,149.38,149.525,149.37,149.44,-1,-1
20230210  14:20:00,149.44,149.445,149.265,149.345,-1,-1
20230210  14:25:00,149.345,149.45,149.345,149.385,-1,-1
20230210  14:30:00,149.385,149.405,149.265,149.33,-1,-1
20230210  14:35:00,149.33,149.38,149.275,149.325,-1,-1
20230210  14:40:00,149.325,149.6,149.3,149.57,-1,-1
20230210  14:45:00,149.57,149.585,149.37,149.55,-1,-1
20230210  14:50:00,149.55,149.735,149.525,149.675,-1,-1
20230210  14:55:00,149.675,149.68,149.445,149.455,-1,-1
20230210  15:00:00,149.455,149.505,149.31,149.33,-1,-1
20230210  15:05:00,149.33,149.455,149.275,149.33,-1,-1
20230210  15:10:00,149.33,149.515,149.285,149.515,-1,-1
20230210  15:15:00,149.515,149.525,149.355,149.47,-1,-1
20230210  15:20:00,149.47,149.47,149.33,149.35,-1,-1
20230210  15:25:00,149.35,149.525,149.075,149.46,-1,-1
20230210  15:30:00,149.46,150.395,149.255,150.055,-1,-1
20230210  15:35:00,150.055,150.435,149.915,150.13,-1,-1
20230210  15:40:00,150.13,150.19,149.59,149.935,-1,-1
20230210  15:45:00,149.935,150.535,149.805,150.425,-1,-1
20230210  15:50:00,150.425,150.565,149.735,149.875,-1,-1
20230210  15:55:00,149.875,150.215,149.705,149.935,-1,-1
20230210  16:00:00,149.935,149.975,149.355,149.62,-1,-1
20230210  16:05:00,149.62,150.195,149.515,149.95,-1,-1
20230210  16:10:00,149.95,150.865,149.95,150.71,-1,-1
20230210  16:15:00,150.71,151.115,150.465,151.05,-1,-1
20230210  16:20:00,151.05,151.345,150.865,151.05,-1,-1
20230210  16:25:00,151.05,151.095,150.615,150.79,-1,-1
20230210  16:30:00,150.79,150.915,150.415,150.6,-1,-1
20230210  16:35:00,150.6,150.755,150.345,150.44,-1,-1
20230210  16:40:00,150.44,150.57,150.265,150.47,-1,-1
20230210  16:45:00,150.47,150.555,150.225,150.495,-1,-1
20230210  16:50:00,150.495,150.515,150.015,150.365,-1,-1
20230210  16:55:00,150.365,150.605,150.225,150.36,-1,-1
20230210  17:00:00,150.36,150.575,150.255,150.37,-1,-1
20230210  17:05:00,150.37,150.915,150.175,150.615,-1,-1
20230210  17:10:00,150.615,150.765,150.22,150.49,-1,-1
20230210  17:15:00,150.49,150.635,150.38,150.555,-1,-1
20230210  17:20:00,150.555,150.705,150.375,150.685,-1,-1
20230210  17:25:00,150.685,150.695,150.265,150.295,-1,-1
20230210  17:30:00,150.295,150.35,150.015,150.115,-1,-1
20230210  17:35:00,150.115,150.285,150.085,150.22,-1,-1
20230210  17:40:00,150.22,150.295,150.085,150.115,-1,-1
20230210  17:45:00,150.115,150.165,149.785,149.965,-1,-1
20230210  17:50:00,149.965,150.035,149.835,149.995,-1,-1
20230210  17:55:00,149.995,150.095,149.705,149.82,-1,-1
20230210  18:00:00,149.82,149.895,149.53,149.595,-1,-1
20230210  18:05:00,149.595,149.785,149.565,149.635,-1,-1
20230210  18:10:00,149.635,149.775,149.555,149.645,-1,-1
20230210  18:15:00,149.645,149.665,149.435,149.485,-1,-1
20230210  18:20:00,149.485,149.885,149.465,149.88,-1,-1
20230210  18:25:00,149.88,149.895,149.625,149.765,-1,-1
20230210  18:30:00,149.765,150.085,149.705,149.825,-1,-1
20230210  18:35:00,149.825,149.955,149.755,149.76,-1,-1
20230210  18:40:00,149.76,150.025,149.755,149.895,-1,-1
20230210  18:45:00,149.895,150.025,149.795,149.845,-1,-1
20230210  18:50:00,149.845,150.025,149.795,149.975,-1,-1
20230210  18:55:00,149.975,150.185,149.935,150.155,-1,-1
20230210  19:00:00,150.155,150.335,150.125,150.21,-1,-1
20230210  19:05:00,150.21,150.335,150.065,150.225,-1,-1
20230210  19:10:00,150.225,150.385,150.175,150.335,-1,-1
20230210  19:15:00,150.335,150.835,150.335,150.805,-1,-1
20230210  19:20:00,150.805,151.115,150.785,150.915,-1,-1
20230210  19:25:00,150.915,151.005,150.735,150.765,-1,-1
20230210  19:30:00,150.765,150.785,150.575,150.78,-1,-1
20230210  19:35:00,150.78,150.825,150.64,150.73,-1,-1
20230210  19:40:00,150.73,150.745,150.38,150.465,-1,-1
20230210  19:45:00,150.465,150.655,150.395,150.65,-1,-1
20230210  19:50:00,150.65,150.695,150.565,150.595,-1,-1
20230210  19:55:00,150.595,150.605,150.405,150.465,-1,-1
20230210  20:00:00,150.465,150.585,150.345,150.4,-1,-1
20230210  20:05:00,150.4,150.445,150.285,150.395,-1,-1
20230210  20:10:00,150.395,150.565,150.375,150.49,-1,-1
20230210  20:15:00,150.49,150.565,150.265,150.375,-1,-1
20230210  20:20:00,150.375,150.585,150.34,150.505,-1,-1
20230210  20:25:00,150.505,150.525,150.235,150.235,-1,-1
20230210  20:30:00,150.235,150.465,150.105,150.38,-1,-1
20230210  20:35:00,150.38,150.44,150.175,150.285,-1,-1
20230210  20:40:00,150.285,150.315,150.045,150.185,-1,-1
20230210  20:45:00,150.185,150.31,150.015,150.275,-1,-1
20230210  20:50:00,150.275,150.595,150.225,150.49,-1,-1
20230210  20:55:00,150.49,150.655,150.475,150.655,-1,-1
20230210  21:00:00,150.655,150.82,150.475,150.525,-1,-1
20230210  21:05:00,150.525,150.745,150.525,150.665,-1,-1
20230210  21:10:00,150.665,150.755,150.565,150.695,-1,-1
20230210  21:15:00,150.695,150.735,150.365,150.365,-1,-1
20230210  21:20:00,150.365,150.445,150.295,150.3,-1,-1
20230210  21:25:00,150.3,150.485,150.295,150.475,-1,-1
20230210  21:30:00,150.475,150.615,150.455,150.565,-1,-1
20230210  21:35:00,150.565,150.835,150.525,150.825,-1,-1
20230210  21:40:00,150.825,150.865,150.575,150.815,-1,-1
20230210  21:45:00,150.815,150.995,150.725,150.975,-1,-1
20230210  21:50:00,150.975,151.115,150.755,151.035,-1,-1
20230210  21:55:00,151.035,151.155,150.865,151.015,-1,-1
20230210  22:00:00,151.015,151.065,150.88,151.03,-1,-1
20230210  22:05:00,151.03,151.04,151.0,151.015,-1,-1
20230210  22:10:00,151.015,151.03,150.975,151.025,-1,-1
20230210  22:15:00,151.025,151.025,150.99,151.0,-1,-1
20230210  22:20:00,151.0,151.005,150.955,150.98,-1,-1
20230210  22:25:00,150.98,150.985,150.975,150.985,-1,-1
20230210  22:30:00,150.985,150.99,150.91,150.925,-1,-1
20230210  22:35:00,150.925,150.955,150.92,150.945,-1,-1
20230210  22:40:00,150.945,150.945,150.93,150.935,-1,-1
20230210  22:45:00,150.935,150.945,150.935,150.945,-1,-1
20230210  22:50:00,150.945,150.945,150.93,150.94,-1,-1
20230210  22:55:00,150.94,150.95,150.925,150.925,-1,-1
20230210  23:00:00,150.925,150.94,150.925,150.93,-1,-1
20230210  23:05:00,150.93,150.935,150.93,150.935,-1,-1
20230210  23:10:00,150.935,150.935,150.935,150.935,-1,-1
20230210  23:15:00,150.935,150.945,150.935,150.94,-1,-1
20230210  23:20:00,150.94,150.945,150.925,150.925,-1,-1
20230210  23:25:00,150.925,150.925,150.91,150.92,-1,-1
20230210  23:30:00,150.92,150.945,150.915,150.945,-1,-1
20230210  23:35:00,150.945,150.945,150.925,150.93,-1,-1
20230210  23:40:00,150.93,150.98,150.93,150.98,-1,-1
20230210  23:45:00,150.98,150.995,150.97,150.98,-1,-1
20230210  23:50:00,150.98,150.995,150.94,150.975,-1,-1
20230210  23:55:00,150.975,150.995,150.975,150.98,-1,-1
20230211  00:00:00,150.98,150.985,150.97,150.985,-1,-1
20230211  00:05:00,150.985,150.985,150.965,150.975,-1,-1
20230211  00:10:00,150.975,150.99,150.975,150.975,-1,-1
20230211  00:15:00,150.975,150.995,150.975,150.995,-1,-1
20230211  00:20:00,150.995,150.995,150.995,150.995,-1,-1
20230211  00:25:00,150.995,150.995,150.995,150.995,-1,-1
20230211  00:30:00,150.995,150.995,150.995,150.995,-1,-1
20230211  00:35:00,150.995,150.995,150.995,150.995,-1,-1
20230211  00:40:00,150.995,150.995,150.995,150.995,-1,-1
20230211  00:45:00,150.995,151.01,150.995,151.01,-1,-1
20230211  00:50:00,151.01,151.02,151.01,151.02,-1,-1
20230211  00:55:00,151.02,151.02,151.01,151.01,-1,-1
20230211  01:00:00,151.01,151.01,151.01,151.01,-1,-1
20230211  01:05:00,151.01,151.01,151.01,151.01,-1,-1
20230211  01:10:00,151.01,151.01,150.985,150.985,-1,-1
20230211  01:15:00,150.985,151.01,150.98,151.005,-1,-1
20230211  01:20:00,151.005,151.025,150.98,151.0,-1,-1
20230211  01:25:00,151.0,151.045,151.0,151.04,-1,-1
20230211  01:30:00,151.04,151.04,151.02,151.025,-1,-1
20230211  01:35:00,151.025,151.025,151.025,151.025,-1,-1
20230211  01:40:00,151.025,151.045,151.025,151.045,-1,-1
20230211  01:45:00,151.045,151.095,151.045,151.095,-1,-1
20230211  01:50:00,151.095,151.17,151.095,151.165,-1,-1
20230211  01:55:00,151.165,151.27,151.165,151.215,-1,-1
20230213  10:00:00,150.58,151.1,150.58,150.985,-1,-1
20230213  10:05:00,150.985,150.995,150.525,150.725,-1,-1
20230213  10:10:00,150.725,150.875,150.46,150.545,-1,-1
20230213  10:15:00,150.545,150.775,150.52,150.69,-1,-1
20230213  10:20:00,150.69,150.76,150.595,150.695,-1,-1
20230213  10:25:00,150.695,150.815,150.635,150.74,-1,-1
20230213  10:30:00,150.74,150.925,150.665,150.745,-1,-1
20230213  10:35:00,150.745,150.815,150.615,150.68,-1,-1
20230213  10:40:00,150.68,150.74,150.515,150.575,-1,-1
20230213  10:45:00,150.575,150.635,150.535,150.635,-1,-1
20230213  10:50:00,150.635,150.695,150.615,150.645,-1,-1
20230213  10:55:00,150.645,150.66,150.6,150.6,-1,-1
20230213  11:00:00,150.6,150.765,150.6,150.745,-1,-1
20230213  11:05:00,150.745,150.765,150.665,150.695,-1,-1
20230213  11:10:00,150.695,150.715,150.62,150.62,-1,-1
20230213  11:15:00,150.62,150.63,150.545,150.555,-1,-1
20230213  11:20:00,150.555,150.615,150.54,150.57,-1,-1
20230213  11:25:00,150.57,150.7,150.555,150.66,-1,-1
20230213  11:30:00,150.66,150.715,150.62,150.71,-1,-1
20230213  11:35:00,150.71,150.81,150.7,150.77,-1,-1
20230213  11:40:00,150.77,150.775,150.71,150.71,-1,-1
20230213  11:45:00,150.71,150.74,150.67,150.74,-1,-1
20230213  11:50:00,150.74,150.88,150.715,150.845,-1,-1
20230213  11:55:00,150.845,150.86,150.75,150.805,-1,-1
20230213  12:00:00,150.805,150.945,150.765,150.905,-1,-1
20230213  12:05:00,150.905,150.935,150.87,150.9,-1,-1
20230213  12:10:00,150.9,150.9,150.74,150.79,-1,-1
20230213  12:15:00,150.79,150.875,150.715,150.795,-1,-1
20230213  12:20:00,150.795,150.895,150.7,150.825,-1,-1
20230213  12:25:00,150.825,150.935,150.76,150.815,-1,-1
20230213  12:30:00,150.815,150.895,150.79,150.87,-1,-1
20230213  12:35:00,150.87,150.925,150.855,150.89,-1,-1
20230213  12:40:00,150.89,150.915,150.8,150.825,-1,-1
20230213  12:45:00,150.825,150.87,150.765,150.8,-1,-1
20230213  12:50:00,150.8,150.885,150.775,150.885,-1,-1
20230213  12:55:00,150.885,150.935,150.875,150.895,-1,-1
20230213  13:00:00,150.895,151.14,150.89,151.085,-1,-1
20230213  13:05:00,151.085,151.115,151.05,151.065,-1,-1
20230213  13:10:00,151.065,151.2,151.055,151.18,-1,-1
20230213  13:15:00,151.18,151.455,151.18,151.455,-1,-1
20230213  13:20:00,151.455,151.71,151.455,151.585,-1,-1
20230213  13:25:00,151.585,151.685,151.55,151.615,-1,-1
20230213  13:30:00,151.615,151.635,151.475,151.49,-1,-1
20230213  13:35:00,151.49,151.55,151.34,151.34,-1,-1
20230213  13:40:00,151.34,151.505,151.285,151.43,-1,-1
20230213  13:45:00,151.43,151.44,151.365,151.405,-1,-1
20230213  13:50:00,151.405,151.63,151.405,151.435,-1,-1
20230213  13:55:00,151.435,151.47,151.325,151.385,-1,-1
20230213  14:00:00,151.385,151.61,151.385,151.55,-1,-1
20230213  14:05:00,151.55,151.555,151.415,151.545,-1,-1
20230213  14:10:00,151.545,151.57,151.43,151.45,-1,-1
20230213  14:15:00,151.45,151.45,151.27,151.305,-1,-1
20230213  14:20:00,151.305,151.44,151.29,151.385,-1,-1
20230213  14:25:00,151.385,151.385,151.28,151.32,-1,-1
20230213  14:30:00,151.32,151.325,151.23,151.245,-1,-1
20230213  14:35:00,151.245,151.38,151.225,151.345,-1,-1
20230213  14:40:00,151.345,151.345,151.21,151.25,-1,-1
20230213  14:45:00,151.25,151.255,151.06,151.14,-1,-1
20230213  14:50:00,151.14,151.225,151.095,151.14,-1,-1
20230213  14:55:00,151.14,151.15,151.07,151.075,-1,-1
20230213  15:00:00,151.075,151.16,151.025,151.125,-1,-1
20230213  15:05:00,151.125,151.365,151.12,151.19,-1,-1
20230213  15:10:00,151.19,151.215,151.07,151.08,-1,-1
20230213  15:15:00,151.08,151.18,151.06,151.095,-1,-1
20230213  15:20:00,151.095,151.145,151.045,151.105,-1,-1
20230213  15:25:00,151.105,151.105,150.765,150.955,-1,-1
20230213  15:30:00,150.955,151.685,150.93,151.335,-1,-1
20230213  15:35:00,151.335,151.575,151.015,151.54,-1,-1
20230213  15:40:00,151.54,151.875,151.47,151.645,-1,-1
20230213  15:45:00,151.645,151.895,151.425,151.545,-1,-1
20230213  15:50:00,151.545,151.795,151.49,151.705,-1,-1
20230213  15:55:00,151.705,152.195,151.615,152.185,-1,-1
20230213  16:00:00,152.185,152.385,152.135,152.195,-1,-1
20230213  16:05:00,152.195,152.445,152.075,152.165,-1,-1
20230213  16:10:00,152.165,152.245,151.865,152.215,-1,-1
20230213  16:15:00,152.215,152.285,151.985,152.165,-1,-1
20230213  16:20:00,152.165,152.325,152.085,152.255,-1,-1
20230213  16:25:00,152.255,152.585,152.245,152.355,-1,-1
20230213  16:30:00,152.355,152.445,152.165,152.265,-1,-1
20230213  16:35:00,152.265,152.405,152.175,152.215,-1,-1
20230213  16:40:00,152.215,152.295,152.025,152.125,-1,-1
20230213  16:45:00,152.125,152.335,152.015,152.335,-1,-1
20230213  16:50:00,152.335,152.755,152.305,152.68,-1,-1
20230213  16:55:00,152.68,152.785,152.565,152.63,-1,-1
20230213  17:00:00,152.63,152.915,152.63,152.86,-1,-1
20230213  17:05:00,152.86,152.985,152.725,152.805,-1,-1
20230213  17:10:00,152.805,152.995,152.75,152.895,-1,-1
20230213  17:15:00,152.895,153.215,152.895,153.125,-1,-1
20230213  17:20:00,153.125,153.205,152.925,153.01,-1,-1
20230213  17:25:00,153.01,153.165,152.975,153.145,-1,-1
20230213  17:30:00,153.145,153.225,153.025,153.075,-1,-1
20230213  17:35:00,153.075,153.215,152.965,153.095,-1,-1
20230213  17:40:00,153.095,153.515,153.095,153.505,-1,-1
20230213  17:45:00,153.505,153.665,153.445,153.645,-1,-1
20230213  17:50:00,153.645,153.685,153.505,153.555,-1,-1
20230213  17:55:00,153.555,153.555,153.285,153.435,-1,-1
20230213  18:00:00,153.435,153.665,153.405,153.575,-1,-1
20230213  18:05:00,153.575,153.715,153.505,153.65,-1,-1
20230213  18:10:00,153.65,153.875,153.635,153.83,-1,-1
20230213  18:15:00,153.83,153.995,153.825,153.955,-1,-1
20230213  18:20:00,153.955,154.165,153.865,154.155,-1,-1
20230213  18:25:00,154.155,154.255,153.945,154.065,-1,-1
20230213  18:30:00,154.065,154.115,153.865,153.995,-1,-1
20230213  18:35:00,153.995,154.055,153.895,154.055,-1,-1
20230213  18:40:00,154.055,154.175,154.045,154.155,-1,-1
20230213  18:45:00,154.155,154.255,153.995,154.035,-1,-1
20230213  18:50:00,154.035,154.155,154.015,154.075,-1,-1
20230213  18:55:00,154.075,154.125,153.735,153.805,-1,-1
20230213  19:00:00,153.805,153.935,153.705,153.705,-1,-1
20230213  19:05:00,153.705,153.745,153.545,153.625,-1,-1
20230213  19:10:00,153.625,153.675,153.465,153.55,-1,-1
20230213  19:15:00,153.55,153.755,153.535,153.725,-1,-1
20230213  19:20:00,153.725,153.785,153.685,153.695,-1,-1
20230213  19:25:00,153.695,154.015,153.695,153.965,-1,-1
20230213  19:30:00,153.965,154.175,153.965,154.045,-1,-1
20230213  19:35:00,154.045,154.085,153.875,153.925,-1,-1
20230213  19:40:00,153.925,153.955,153.755,153.755,-1,-1
20230213  19:45:00,153.755,153.825,153.705,153.735,-1,-1
20230213  19:50:00,153.735,153.965,153.735,153.855,-1,-1
20230213  19:55:00,153.855,154.005,153.855,153.975,-1,-1
20230213  20:00:00,153.975,154.025,153.835,153.875,-1,-1
20230213  20:05:00,153.875,153.925,153.735,153.925,-1,-1
20230213  20:10:00,153.925,153.945,153.605,153.645,-1,-1
20230213  20:15:00,153.645,153.675,153.515,153.545,-1,-1
20230213  20:20:00,153.545,153.635,153.485,153.565,-1,-1
20230213  20:25:00,153.565,153.595,153.305,153.38,-1,-1
20230213  20:30:00,153.38,153.395,153.065,153.145,-1,-1
20230213  20:35:00,153.145,153.405,153.095,153.125,-1,-1
20230213  20:40:00,153.125,153.145,152.955,153.065,-1,-1
20230213  20:45:00,153.065,153.135,152.785,152.81,-1,-1
20230213  20:50:00,152.81,153.105,152.765,153.005,-1,-1
20230213  20:55:00,153.005,153.075,152.915,153.075,-1,-1
20230213  21:00:00,153.075,153.075,152.765,153.01,-1,-1
20230213  21:05:00,153.01,153.245,153.005,153.225,-1,-1
20230213  21:10:00,153.225,153.345,153.205,153.295,-1,-1
20230213  21:15:00,153.295,153.425,153.215,153.425,-1,-1
20230213  21:20:00,153.425,153.495,153.345,153.455,-1,-1
20230213  21:25:00,153.455,153.635,153.455,153.635,-1,-1
20230213  21:30:00,153.635,153.865,153.595,153.845,-1,-1
20230213  21:35:00,153.845,153.965,153.765,153.925,-1,-1
20230213  21:40:00,153.925,153.975,153.72,153.8,-1,-1
