date,open,high,low,close,volume,barCount
20230210  10:00:00,35.6,35.89,35.58,35.87,-1,-1
20230210  10:05:00,35.87,35.96,35.75,35.79,-1,-1
20230210  10:10:00,35.79,35.84,35.74,35.75,-1,-1
20230210  10:15:00,35.75,35.78,35.72,35.75,-1,-1
20230210  10:20:00,35.75,35.985,35.74,35.79,-1,-1
20230210  10:25:00,35.79,35.965,35.615,35.81,-1,-1
20230210  10:30:00,35.81,35.82,35.74,35.74,-1,-1
20230210  10:35:00,35.74,35.75,35.74,35.74,-1,-1
20230210  10:40:00,35.74,35.75,35.66,35.68,-1,-1
20230210  10:45:00,35.68,35.68,35.66,35.66,-1,-1
20230210  10:50:00,35.66,35.675,35.615,35.615,-1,-1
20230210  10:55:00,35.615,35.615,35.615,35.615,-1,-1
20230210  11:00:00,35.615,35.615,35.565,35.585,-1,-1
20230210  11:05:00,35.585,35.6,35.55,35.56,-1,-1
20230210  11:10:00,35.56,35.56,35.505,35.55,-1,-1
20230210  11:15:00,35.55,35.56,35.545,35.545,-1,-1
20230210  11:20:00,35.545,35.555,35.545,35.545,-1,-1
20230210  11:25:00,35.545,35.545,35.53,35.54,-1,-1
20230210  11:30:00,35.54,35.555,35.525,35.525,-1,-1
20230210  11:35:00,35.525,35.525,35.525,35.525,-1,-1
20230210  11:40:00,35.525,35.53,35.525,35.525,-1,-1
20230210  11:45:00,35.525,35.535,35.48,35.535,-1,-1
20230210  11:50:00,35.535,35.545,35.525,35.525,-1,-1
20230210  11:55:00,35.525,35.565,35.525,35.565,-1,-1
20230210  12:00:00,35.565,35.565,35.565,35.565,-1,-1
20230210  12:05:00,35.565,35.565,35.525,35.525,-1,-1
20230210  12:10:00,35.525,35.525,35.525,35.525,-1,-1
20230210  12:15:00,35.525,35.525,35.52,35.52,-1,-1
20230210  12:20:00,35.52,35.52,35.465,35.515,-1,-1
20230210  12:25:00,35.515,35.515,35.515,35.515,-1,-1
20230210  12:30:00,35.515,35.61,35.515,35.515,-1,-1
20230210  12:35:00,35.515,35.515,35.495,35.495,-1,-1
20230210  12:40:00,35.495,35.535,35.49,35.505,-1,-1
20230210  12:45:00,35.505,35.505,35.415,35.465,-1,-1
20230210  12:50:00,35.465,35.465,35.46,35.465,-1,-1
20230210  12:55:00,35.465,35.465,35.465,35.465,-1,-1
20230210  13:00:00,35.465,35.545,35.465,35.515,-1,-1
20230210  13:05:00,35.515,35.515,35.5,35.505,-1,-1
20230210  13:10:00,35.505,35.51,35.5,35.505,-1,-1
20230210  13:15:00,35.505,35.515,35.505,35.515,-1,-1
20230210  13:20:00,35.515,35.535,35.515,35.535,-1,-1
20230210  13:25:00,35.535,35.535,35.535,35.535,-1,-1
20230210  13:30:00,35.535,35.535,35.535,35.535,-1,-1
20230210  13:35:00,35.535,35.535,35.5,35.505,-1,-1
20230210  13:40:00,35.505,35.525,35.505,35.52,-1,-1
20230210  13:45:00,35.52,35.52,35.505,35.51,-1,-1
20230210  13:50:00,35.51,35.515,35.47,35.475,-1,-1
20230210  13:55:00,35.475,35.505,35.475,35.48,-1,-1
20230210  14:00:00,35.48,35.525,35.465,35.515,-1,-1
20230210  14:05:00,35.515,35.545,35.51,35.54,-1,-1
20230210  14:10:00,35.54,35.575,35.54,35.565,-1,-1
20230210  14:15:00,35.565,35.565,35.555,35.555,-1,-1
20230210  14:20:00,35.555,35.555,35.555,35.555,-1,-1
20230210  14:25:00,35.555,35.555,35.555,35.555,-1,-1
20230210  14:30:00,35.555,35.565,35.555,35.565,-1,-1
20230210  14:35:00,35.565,35.565,35.525,35.525,-1,-1
