2023.08.01 00:30:00;AUD;3;Cash Rate;4.10%;4.35%;4.10%;;;
2023.08.01 00:30:00;AUD;3;RBA Rate Statement;;;;;;
2023.08.01 00:30:00;CHF;0;Bank Holiday (All Day);;;;;;
2023.08.01 02:00:00;GBP;1;Nationwide HPI m/m;0.1%;-0.5%;-0.2%;;;
2023.08.01 02:30:00;AUD;1;Commodity Prices y/y;-23.9%;;-23.5%;;;
2023.08.01 03:15:00;EUR;1;Spanish Manufacturing PMI;48.0;48.2;47.8;;;
2023.08.01 03:45:00;EUR;1;Italian Manufacturing PMI;43.8;44.4;44.5;;;
2023.08.01 03:50:00;EUR;1;French Final Manufacturing PMI;44.5;44.5;45.1;;;
2023.08.01 03:55:00;EUR;1;German Final Manufacturing PMI;38.8;38.8;38.8;;;
2023.08.01 03:55:00;EUR;1;German Unemployment Change;30K;19K;-4K;;;
2023.08.01 04:00:00;EUR;1;Final Manufacturing PMI;42.7;42.7;42.7;;;
2023.08.01 04:00:00;EUR;1;Italian Monthly Unemployment Rate;7.6%;7.7%;7.4%;;;
2023.08.01 04:30:00;GBP;1;Final Manufacturing PMI;45.0;45.0;45.3;;;
2023.08.01 05:00:00;EUR;1;Unemployment Rate;6.5%;6.5%;6.4%;;;
2023.08.01 09:30:00;CAD;1;Manufacturing PMI;48.8;;49.6;;;
2023.08.01 09:45:00;USD;1;Final Manufacturing PMI;49.0;49.0;49.0;;;
2023.08.01 10:00:00;USD;3;ISM Manufacturing PMI;46.0;46.9;46.4;;;
2023.08.01 10:00:00;USD;3;JOLTS Job Openings;9.62M;9.61M;9.58M;;;
2023.08.01 10:00:00;USD;2;ISM Manufacturing Prices;41.8;43.8;42.6;;;
2023.08.01 10:00:00;USD;1;Construction Spending m/m;1.1%;0.6%;0.5%;;;
2023.08.01 10:00:00;USD;1;FOMC Member Goolsbee Speaks;;;;;;
2023.08.01 10:00:00;USD;1;Wards Total Vehicle Sales (All Day);15.7M;15.7M;15.7M;;;
2023.08.01 10:42:00;NZD;1;GDT Price Index;-1.0%;;-4.3%;;;
2023.08.01 18:45:00;NZD;3;Employment Change q/q;1.1%;0.6%;1.0%;;;
2023.08.01 18:45:00;NZD;3;Unemployment Rate;3.4%;3.5%;3.6%;;;
2023.08.01 18:45:00;NZD;1;Labor Cost Index q/q;0.9%;1.2%;1.1%;;;
2023.08.01 19:50:00;JPY;1;Monetary Base y/y;-1.0%;-0.7%;-1.3%;;;
2023.08.01 19:50:00;JPY;1;Monetary Policy Meeting Minutes;;;;;;
2023.08.02 03:00:00;CHF;1;SECO Consumer Climate;-30;-25;-27;;;
2023.08.02 03:00:00;EUR;1;Spanish Unemployment Change;-50.3K;-38.2K;-11.0K;;;
2023.08.02 03:30:00;CHF;1;Manufacturing PMI;44.9;43.8;38.5;;;
2023.08.02 08:15:00;USD;3;ADP Non-Farm Employment Change;455K;191K;324K;;;
2023.08.02 10:30:00;USD;1;Crude Oil Inventories;-0.6M;-0.9M;-17.0M;;;
2023.08.02 21:00:00;NZD;1;ANZ Commodity Prices m/m;-1.7%;;-2.6%;;;
2023.08.02 21:30:00;AUD;2;Trade Balance;10.50B;10.87B;11.32B;;;
2023.08.02 21:45:00;CNY;2;Caixin Services PMI;53.9;52.5;54.1;;;
2023.08.03 02:00:00;EUR;1;German Trade Balance;14.6B;15.0B;18.7B;;;
2023.08.03 02:30:00;CHF;3;CPI m/m;0.1%;-0.1%;-0.1%;;;
2023.08.03 02:45:00;EUR;1;French Gov Budget Balance;-107.2B;;-116.2B;;;
2023.08.03 03:15:00;EUR;1;Spanish Services PMI;53.4;53.5;52.8;;;
2023.08.03 03:45:00;EUR;1;Italian Services PMI;52.2;52.2;51.5;;;
2023.08.03 03:50:00;EUR;1;French Final Services PMI;47.4;47.4;47.1;;;
2023.08.03 03:55:00;EUR;1;German Final Services PMI;52.0;52.0;52.3;;;
2023.08.03 04:00:00;EUR;1;Final Services PMI;51.1;51.1;50.9;;;
2023.08.03 04:00:00;EUR;1;Italian Retail Sales m/m;0.6%;0.2%;-0.2%;;;
2023.08.03 04:30:00;GBP;1;Final Services PMI;51.5;51.5;51.5;;;
